group_id,seed,bead_index,segments,free_progress,hidden_progress,progress_gap,free_tangent_motion,hidden_tangent_motion,free_vertical_motion,hidden_vertical_motion,free_crossed_halfway_plane,hidden_crossed_halfway_plane
zl_071002,71002,5,all|pulled_side,5.114347511533803e-05,0.04665268937256267,-0.04660154589744733,-8.852955937916546e-05,0.0007351962539176235,-6.365938852326974e-07,1.8742109442713983e-06,False,True
zl_071002,71002,6,all|blocked,8.179961085299985e-05,0.035839925855008,-0.035758126244154996,-8.239511946751082e-05,0.00252438266405337,-5.6778753550462e-07,2.903483865108851e-06,False,False
zl_071002,71002,7,all|blocked,-0.00023117278216013362,0.016253274177237105,-0.01648444695939724,-0.00036084398875866936,0.002581318084847852,2.9511843368298235e-07,1.921455110766128e-06,False,False
zl_071002,71002,8,all|blocked,0.0008421739309989187,0.0009863223265446628,-0.00014414839554574414,0.0006619025340905931,0.0005441536553321587,1.1861343939198465e-06,9.505795242033613e-07,False,False
zl_071002,71002,9,all|blocked,0.0030076845106453217,0.0022285057684152203,0.0007791787422301013,0.003307292944920514,0.001857834343095628,1.0021095590456372e-05,3.1540368834919244e-06,False,False
zl_071002,71002,10,all|blocked,0.0030031869595445,0.0021626052899369488,0.0008405816696075512,0.0035829617485025,0.00040054617087901254,3.2018996726065375e-05,1.507272552626459e-05,False,False
zl_071002,71002,11,all|blocked,0.0036041189564464038,0.0033753693838363807,0.00022874957261002308,0.0018821627215904998,-0.004334980931647154,0.00010457345054563569,3.147683633914541e-05,False,False
zl_071002,71002,12,all|blocked,0.006173303803750522,0.003529641650210081,0.0026436621535404405,-0.0020363909785811505,-0.004488653550135091,0.0003926140270373744,0.00010460432105790368,False,False
zl_071002,71002,13,all|blocked,0.008066752508566156,0.00885041603768027,-0.000783663529114114,-0.00046117775736093406,-0.0017439048502635441,0.0015897157091068533,0.000416460847517436,False,False
zl_071002,71002,14,all|blocked,0.013949744298527912,0.009349767465371028,0.004599976833156884,-0.0010932944664846962,-0.003417663787366452,0.011874050774472985,0.0017369829202351361,False,False
zl_071002,71002,15,all|blocked,0.021865414075474945,0.0115291153010115,0.010336298774463445,0.009399379685439906,0.007964106501762876,0.0039233900970857775,0.004765404163491695,False,False
zl_071002,71002,16,all|blocked,0.02625613902231181,0.014911606733532189,0.011344532288779621,0.000851290446651989,0.006150212304410247,-0.01309285693669175,0.0028990254169939077,False,False
zl_071002,71002,17,all|blocked,0.03724944698250934,0.016563694706967683,0.02068575227554166,-0.01064846554025838,0.00043739185865650145,-0.002571720725832214,-0.0005187483665073708,False,False
zl_071002,71002,18,all|trailing_side,0.0645617904304424,0.030754744063016017,0.03380704636742638,-0.017646858181531073,0.013002700627453602,-0.0014624333950625113,0.0002472780804832859,True,False
zl_071002,71002,19,all|trailing_side,0.0877929905895696,0.03813888483443145,0.04965410575513815,-0.0032757098665521026,0.02796557569018214,-0.006565029032258129,0.007738370589824073,True,False
zl_071002,71002,20,all|trailing_side,0.08846781325965382,0.032223655658251533,0.056244157601402285,-0.00014078050220016347,0.014919405105450886,-0.012882551946069867,-0.002232313235359447,True,False
zl_071002,71002,21,all|trailing_side,0.10774824214609505,0.020652672234770485,0.08709556991132456,0.01942825179111827,0.026692971218945347,-0.012540015119880642,-0.0014288841284223475,True,False
zl_071002,71002,22,all|trailing_side,0.1189567424704714,0.01667356567746496,0.10228317679300644,0.0368243905844368,0.02588771166297224,-0.0019548542920225093,0.0026669621149333564,True,False
zl_071002,71002,23,all|trailing_side,0.11910787069334039,0.01784510738037898,0.10126276331296141,0.05643535152721687,0.04246518916390153,-0.00998124389272163,-0.009984730211641403,True,False
zl_071003,71003,0,all|pulled_side,0.09924171899404463,-0.0002389666215584694,0.0994806856156031,0.003932999991557579,2.6112378175969988e-05,4.584746660301481e-06,8.054561136047744e-06,True,False
zl_071003,71003,1,all|pulled_side,0.08304789096194937,-0.000544838420184021,0.08359272938213338,0.003493281352297102,0.00023259034917316317,-2.8484536839824826e-07,1.1169283622583862e-06,True,False
zl_071003,71003,2,all|pulled_side,0.08320429027037213,-0.0005527257925129678,0.08375701606288509,0.007488339578229593,0.00032669168035023334,4.076225529394198e-06,-3.7311696600428323e-08,True,False
zl_071003,71003,3,all|pulled_side,0.06287831128138124,-0.00010276802250472754,0.06298107930388597,-0.0038931011165330882,9.318314028490781e-05,-9.21349568466269e-07,-7.694375863641356e-07,True,False
zl_071003,71003,4,all|pulled_side,0.06246948484192903,-0.00012326409958186366,0.0625927489415109,-0.013802954543350534,5.433985148273518e-05,-2.6994729552219654e-07,-1.3878342632637694e-06,True,False
zl_071003,71003,5,all|pulled_side,0.05621489147674391,5.114412278438096e-07,0.05621438003551607,-0.0022585648472529356,-2.1622942714032102e-05,7.238194324257763e-07,4.6747347736027234e-07,True,False
zl_071003,71003,6,all|blocked,0.03928666865908147,5.6909212380662e-06,0.0392809777378434,0.012674844643277242,-6.138052142612327e-06,-2.78893953390303e-06,-2.1838796920546633e-06,False,False
zl_071003,71003,7,all|blocked,0.019305260833923484,-2.0500469320951795e-05,0.019325761303244437,0.013720757572187627,-2.2351779093260114e-05,1.8257298979289932e-06,9.360556045643481e-08,False,False
zl_071003,71003,8,all|blocked,0.010087590115690066,0.00021032274244517235,0.009877267373244894,0.010364217922908767,0.0001908434416119521,-3.5523210209498224e-06,-1.0960667002008276e-06,False,False
zl_071003,71003,9,all|blocked,0.0023468339513071524,0.0005722429537969415,0.0017745909975102109,0.006636815940330159,0.000600869486411772,1.6918673087897365e-06,-1.2054169674412599e-06,False,False
zl_071003,71003,10,all|blocked,-4.93503330248781e-05,0.0006094776293376834,-0.0006588279623625615,-0.00011542820217965216,0.0009881762890011846,-5.629723697295717e-06,6.193220178412652e-06,False,False
zl_071003,71003,11,all|blocked,0.0004222132903419461,8.193777241070161e-05,0.00034027551793124446,-0.00721271163662353,0.002382677480369177,-4.282025668412258e-06,1.778099301035299e-05,False,False
zl_071003,71003,12,all|blocked,0.003681107309901826,0.0007679789819395675,0.002913128327962258,-0.01147592014877519,0.0017867900454843393,-9.768404460068145e-06,9.188327277449056e-05,False,False
zl_071003,71003,13,all|blocked,0.010673140893446134,0.004192088334945729,0.006481052558500405,-0.008143758885199248,0.004272823668775302,-4.18645245705623e-05,0.00035691281382281646,False,False
zl_071003,71003,14,all|blocked,0.011652730282026154,0.005288340215391754,0.0063643900666344,-0.0025772877188882056,-8.807190847058945e-05,-0.00014630335450750796,0.0013910026833223038,False,False
zl_071003,71003,15,all|blocked,0.006218678690930932,0.007966455867753304,-0.0017477771768223717,-0.004637640704122781,0.010732115142901823,-0.0006290368791020485,0.008667038133167717,False,False
zl_071003,71003,16,all|blocked,0.01061927178659136,0.017859096983930893,-0.007239825197339534,-0.00860365279351033,0.0004445361355270008,-0.0005422464179815102,0.0028500863703594843,False,False
zl_071003,71003,17,all|trailing_side,0.01487448189859255,0.032073365188739315,-0.017198883290146766,-0.007828168313352975,-0.012044825106538124,0.001596343101865282,0.01040242278819783,False,False
zl_071003,71003,18,all|trailing_side,0.01724447324672025,0.05190572812303973,-0.03466125487631948,-0.0028499266374321383,-0.013328918447986346,-0.0009084372430987623,0.0016316126502387042,False,True
zl_071003,71003,19,all|trailing_side,0.013310179251027409,0.07493952988886685,-0.06162935063783943,0.00378639833324744,0.00020238425311747132,-0.004651175606984045,-0.007254040341306266,False,True
zl_071003,71003,20,all|trailing_side,0.008077170253378244,0.0760802403526529,-0.06800307009927466,0.002309190070589961,0.010867302310960121,-0.0009735239794777598,-0.01264203296011728,False,True
zl_071003,71003,21,all|trailing_side,0.00676442610891513,0.07944401690069926,-0.07267959079178413,0.0011620362174537963,0.00861490773861271,0.0005706719716476261,-0.005730033796991764,False,True
zl_071003,71003,22,all|trailing_side,0.0015749994063733504,0.0774408809787337,-0.07586588157236035,0.0028791153699143173,0.007661895149586775,1.6922657979340228e-05,-0.011947515384953783,False,True
zl_071003,71003,23,all|trailing_side,-0.003448663060008633,0.06452783415965765,-0.06797649721966628,0.0046569184190463474,0.009792659757485809,-0.0004646831130683173,-0.0004148828937259952,False,True
