condition,step,x,y,z,insertion_depth,lateral_offset,max_curvature,jam_contact_force,lateral_contact_force
free_insert,28,-0.03275946676531655,-4.561215164149505e-05,0.04519502623024706,0.0,-4.561215164149505e-05,6.875427752322963,0.0,0.0
free_insert,29,-0.0319556298238737,-4.343491206565074e-05,0.04519147490050404,0.0,-4.343491206565074e-05,6.977597785672564,0.0,0.0
free_insert,30,-0.03115787049015916,-4.125591888053201e-05,0.04517425399483338,0.0,-4.125591888053201e-05,7.081685646999613,0.0,0.0
free_insert,31,-0.03035869420194927,-3.907816676398765e-05,0.045163783229505476,0.0,-3.907816676398765e-05,7.1944127223564225,0.0,0.0
free_insert,32,-0.029555694389232112,-3.69007670089345e-05,0.045159430910067085,0.0,-3.69007670089345e-05,7.2953991517954755,0.0,0.0
free_insert,33,-0.028756123656724846,-3.4721870917663144e-05,0.04514565477926003,0.0,-3.4721870917663144e-05,7.392065684140386,0.0,0.0
free_insert,34,-0.02795705643097151,-3.2542984127547156e-05,0.0451300371365945,0.0,-3.2542984127547156e-05,7.494863875358895,0.0,0.0
free_insert,35,-0.02715780764951551,-3.0365216658551094e-05,0.04511990098139695,0.0,-3.0365216658551094e-05,7.599640909191069,0.0,0.0
free_insert,36,-0.026358803787466696,-2.818760166676147e-05,0.04511091989577756,0.0,-2.818760166676147e-05,7.704329362785784,0.0,0.0
free_insert,37,-0.025560226188569034,-2.6009789186060815e-05,0.04510041504234408,0.0,-2.6009789186060815e-05,7.793594754537987,0.0,0.0
free_insert,38,-0.024760453479226806,-2.3831972533306084e-05,0.04509042460976431,0.0,-2.3831972533306084e-05,7.870739286532081,0.0,0.0
free_insert,39,-0.02396055939599743,-2.1653970412904216e-05,0.04508013906507822,0.0,-2.1653970412904216e-05,7.9427874858297205,0.0,0.0
free_insert,40,-0.023160771511945,-1.9475919237963654e-05,0.04506999741545829,0.0,-1.9475919237963654e-05,8.01165213882495,0.0,0.0
free_insert,41,-0.02236089906053813,-1.7297856447658287e-05,0.045059392636841174,0.0,-1.7297856447658287e-05,8.077733265404342,0.0,0.0
free_insert,42,-0.021561152452861502,-1.5119986151055522e-05,0.04504926430036646,0.0,-1.5119986151055522e-05,8.130369095938356,0.0,0.0
free_insert,43,-0.020760959598441348,-1.2941864528121885e-05,0.04503843085454746,0.0,-1.2941864528121885e-05,8.189420761815736,0.0,0.0
