baseline,fold,seed,visible_seed,window_t,delta_hidden_minus_free_sample_wrong_branch_rate,delta_hidden_minus_free_future_chamfer_to_true,delta_hidden_minus_free_action_mse
paper_state,2,0,100010,0,-0.8125,-0.003226727247238159,8.381903171539307e-08
paper_state,2,0,100011,0,-0.96875,-0.00132770836353302,2.1606683731079102e-07
paper_state,2,0,100012,0,-0.125,-0.0005499124526977539,-9.592622518539429e-08
paper_state,2,0,100013,0,-0.9375,-0.00186050683259964,-1.8300488591194153e-07
paper_state,2,0,100014,0,-0.03125,-1.2159347534179688e-05,-8.242204785346985e-08
paper_state,2,0,100015,0,-0.65625,-0.0009657107293605804,-5.045905709266663e-06
paper_state,2,0,100016,0,0.09375,0.0008022487163543701,-4.0838494896888733e-07
paper_state,2,0,100017,0,0.3125,0.0009023621678352356,-1.2310687452554703e-05
paper_state,2,0,100018,0,-0.59375,-0.001137271523475647,6.204936653375626e-08
paper_state,2,0,100019,0,1.0,0.005003243684768677,-1.3550743460655212e-07
paper_state,2,0,100020,0,-0.96875,-0.002640374004840851,-1.4924444258213043e-07
paper_state,2,0,100021,0,-0.90625,-0.005202949047088623,1.2870877981185913e-06
paper_state,2,0,100022,0,0.5625,0.003043562173843384,-2.253800630569458e-07
paper_state,2,0,100023,0,-1.0,-0.005340211093425751,-8.782371878623962e-07
paper_state,2,0,100023,1,-0.84375,-0.003407299518585205,0.0007057451875880361
paper_state,2,0,100023,2,-0.65625,-0.0032628923654556274,0.0005709066754207015
paper_state,2,0,100024,0,-0.9375,-0.002733945846557617,2.3422762751579285e-07
paper_state,2,0,100025,0,-0.46875,-0.0013028308749198914,-5.065812729299068e-07
paper_state,2,0,100026,0,-0.9375,-0.0045919269323349,1.0337680578231812e-07
paper_state,2,0,100027,0,-0.5,-0.0007907301187515259,-1.6065314412117004e-08
paper_state,2,0,100028,0,-0.875,-0.002175338566303253,-1.5238765627145767e-07
paper_state,2,0,100029,0,-1.0,-0.0025615692138671875,-1.4668330550193787e-08
paper_state,2,1,100000,0,0.59375,0.001448504626750946,4.0908344089984894e-07
paper_state,2,1,100001,0,0.28125,0.0005714744329452515,-4.5355409383773804e-07
paper_state,2,1,100002,0,-1.0,-0.005497798323631287,-1.3185665011405945e-05
paper_state,2,1,100003,0,-0.0625,-0.00017564743757247925,4.3888576328754425e-08
paper_state,2,1,100004,0,-0.34375,-0.0018524453043937683,8.304603397846222e-06
paper_state,2,1,100005,0,-0.46875,-0.0015596114099025726,-4.598172381520271e-06
paper_state,2,1,100005,1,-0.78125,-0.0026021115481853485,0.00019705842714756727
paper_state,2,1,100005,2,-0.875,-0.003055185079574585,3.23985586874187e-05
paper_state,2,1,100005,3,-1.0,-0.0057006776332855225,0.00012103095650672913
paper_state,2,1,100005,4,-1.0,-0.004773527383804321,5.6675635278224945e-05
paper_state,2,1,100006,0,-0.96875,-0.0035424530506134033,4.260800778865814e-08
paper_state,2,1,100006,1,-1.0,-0.003831319510936737,-0.0002049230970442295
paper_state,2,1,100006,2,-1.0,-0.003576606512069702,-0.0006420863792300224
paper_state,2,1,100006,3,-1.0,-0.0038593411445617676,0.007094803266227245
paper_state,2,1,100007,0,1.0,0.005930662155151367,-1.484062522649765e-05
paper_state,2,1,100007,1,-0.65625,-0.0029307007789611816,-0.009110949002206326
paper_state,2,1,100007,2,0.75,0.00201474130153656,0.006860395893454552
paper_state,2,1,100007,3,1.0,0.005633093416690826,-0.0007744536269456148
paper_state,2,1,100007,4,1.0,0.005207754671573639,-0.000589436967857182
paper_state,2,1,100007,5,1.0,0.005295857787132263,0.008845088654197752
paper_state,2,1,100007,6,1.0,0.005332335829734802,0.0012020040303468704
paper_state,2,1,100007,7,1.0,0.0052550360560417175,-0.0003463961184024811
paper_state,2,1,100008,0,-0.75,-0.0012750662863254547,2.7206260710954666e-07
paper_state,2,1,100008,1,-0.8125,-0.0009609386324882507,-5.5494485422968864e-05
paper_state,2,1,100009,0,-0.8125,-0.001325160264968872,-4.7101639211177826e-07
paper_state,2,1,100010,0,-0.875,-0.003138229250907898,5.2619725465774536e-08
paper_state,2,1,100011,0,-1.0,-0.0012534409761428833,1.9045546650886536e-07
paper_state,2,1,100012,0,-0.53125,-0.0011190474033355713,-1.1920928955078125e-07
paper_state,2,1,100013,0,-1.0,-0.002019070088863373,-1.5832483768463135e-07
paper_state,2,1,100014,0,-0.125,-0.00012700259685516357,-8.62637534737587e-08
paper_state,2,1,100015,0,-0.71875,-0.001035049557685852,-7.680617272853851e-06
paper_state,2,1,100016,0,0.21875,0.0017139017581939697,-4.023313522338867e-07
paper_state,2,1,100017,0,0.5,0.001817367970943451,-1.0983552783727646e-05
paper_state,2,1,100018,0,-0.59375,-0.0011973977088928223,8.195638656616211e-08
paper_state,2,1,100019,0,1.0,0.004718087613582611,-4.7963112592697144e-08
paper_state,2,1,100020,0,-0.9375,-0.0024339333176612854,-1.0203802958130836e-07
paper_state,2,1,100021,0,-0.875,-0.005432628095149994,2.742744982242584e-07
paper_state,2,1,100022,0,0.78125,0.0036333054304122925,-3.175809979438782e-07
paper_state,2,1,100023,0,-1.0,-0.0053166598081588745,-1.1026859283447266e-06
paper_state,2,1,100023,1,-0.90625,-0.003732345998287201,0.000938659068197012
paper_state,2,1,100023,2,-0.875,-0.003738686442375183,0.0008354145102202892
paper_state,2,1,100024,0,-1.0,-0.003084622323513031,3.175809979438782e-07
paper_state,2,1,100025,0,-0.34375,-0.0012309327721595764,-4.5017804950475693e-07
paper_state,2,1,100026,0,-1.0,-0.005908086895942688,1.3224780559539795e-07
paper_state,2,1,100027,0,-0.28125,-0.000684298574924469,-1.0943040251731873e-08
paper_state,2,1,100028,0,-0.90625,-0.002299286425113678,-1.5704426914453506e-07
paper_state,2,1,100029,0,-0.90625,-0.0018785297870635986,-3.14321368932724e-08
state_action,0,0,100000,0,0.53125,0.0013701245188713074,1.8440186977386475e-07
state_action,0,0,100001,0,0.0,9.278208017349243e-05,-4.624016582965851e-07
state_action,0,0,100002,0,-1.0,-0.00517505407333374,-1.1769123375415802e-05
state_action,0,0,100003,0,0.0,0.0002152957022190094,5.494803190231323e-08
state_action,0,0,100004,0,-0.3125,-0.0014486871659755707,1.202191924676299e-06
state_action,0,0,100005,0,-0.625,-0.0018212273716926575,4.138099029660225e-06
state_action,0,0,100005,1,-0.875,-0.0025174543261528015,0.0003392128273844719
state_action,0,0,100005,2,-0.78125,-0.0025317929685115814,-8.931639604270458e-05
state_action,0,0,100005,3,-0.8125,-0.0024231448769569397,-1.5031779184937477e-05
state_action,0,0,100005,4,-0.875,-0.0028039105236530304,0.000634373165667057
state_action,0,0,100006,0,-1.0,-0.0033017247915267944,-1.3980752555653453e-08
