edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
13,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
14,1,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31433,0.003676470588235294,0.9975490196078431
15,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9987745098039216
16,1,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9987745098039216
17,1,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
18,1,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.0,0.9926470588235294
19,1,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
20,1,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
21,1,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9963235294117647
22,1,candidate,1.0,epsilon_cosine_cap_0p5,31433,0.0,1.0
0,2,candidate,1.0,epsilon_cosine_cap_0p5,31433,0.0,1.0
1,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
2,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0,0.9950980392156863
3,2,candidate,0.991421568627451,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9926470588235294
4,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
5,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9987745098039216
6,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9987745098039216
7,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
8,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
9,2,candidate,0.991421568627451,epsilon_cosine_cap_0p5,31433,0.004901960784313725,0.9963235294117647
