bad_segment_constraint_count_max,bad_segment_constraint_count_mean,bad_segment_constraint_count_p50,bad_segment_constraint_count_p90,bad_segment_constraint_count_p95,bad_segment_constraint_count_p99,chain_family_failure_rate,chain_family_score_max,chain_family_score_mean,chain_family_score_p50,chain_family_score_p90,chain_family_score_p95,chain_family_score_p99,chain_ratio_target_max,chain_ratio_target_mean,chain_ratio_target_p50,chain_ratio_target_p90,chain_ratio_target_p95,chain_ratio_target_p99,config,coordinate_failure_rate,edge_vector_rmse_max,edge_vector_rmse_mean,edge_vector_rmse_p50,edge_vector_rmse_p90,edge_vector_rmse_p95,edge_vector_rmse_p99,failed_category_count_max,failed_category_count_mean,failed_category_count_p50,failed_category_count_p90,failed_category_count_p95,failed_category_count_p99,final_ordered_rmse_max,final_ordered_rmse_mean,final_ordered_rmse_p50,final_ordered_rmse_p90,final_ordered_rmse_p95,final_ordered_rmse_p99,gross_compression_fraction_center,gross_stretch_fraction_center,quaternion_failure_rate,quaternion_norm_max,quaternion_norm_mean,quaternion_norm_p50,quaternion_norm_p90,quaternion_norm_p95,quaternion_norm_p99,query_count,query_has_valid_candidate_rate,sample_count,sample_validity_rate,segment_element_score_max,segment_element_score_mean,segment_element_score_p50,segment_element_score_p90,segment_element_score_p95,segment_element_score_p99,segment_family_failure_rate,segment_family_score_max,segment_family_score_mean,segment_family_score_p50,segment_family_score_p90,segment_family_score_p95,segment_family_score_p99,segment_ratio_center_max,segment_ratio_center_mean,segment_ratio_center_p50,segment_ratio_center_p90,segment_ratio_center_p95,segment_ratio_center_p99,segment_ratio_target_max,segment_ratio_target_mean,segment_ratio_target_p50,segment_ratio_target_p90,segment_ratio_target_p95,segment_ratio_target_p99,timestep,trajectory_ordered_rmse_max,trajectory_ordered_rmse_mean,trajectory_ordered_rmse_p50,trajectory_ordered_rmse_p90,trajectory_ordered_rmse_p95,trajectory_ordered_rmse_p99
92.0,22.421875,21.0,29.700000000000003,32.849999999999994,56.089999999999854,1.0,21510.44921875,953.9281535148621,621.691650390625,916.0571350097657,1001.7237548828124,8635.634174804636,23.180007934570312,1.7540340926498175,1.4882097840309143,1.781206488609314,1.8434907793998718,15.838653564453091,edge_length,0.015625,0.2055756151676178,0.0190919631277211,0.01608323957771063,0.018231527507305147,0.01908659804612398,0.08884078683331562,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.23758994042873383,0.037629456564900465,0.03445175848901272,0.051132818311452874,0.057041795924305895,0.12799874044954732,0.021059782608695652,0.022418478260869564,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,7179.9814453125,134.720637668405,77.04376983642578,229.35690917968756,300.97274780273403,1817.1763146972678,1.0,7179.9814453125,517.6920795440674,397.68128967285156,539.2854370117188,604.8551147460937,3082.471250610335,51.75703430175781,1.7392122462260886,1.3887284994125366,2.6216178417205813,3.1279044151306126,13.848062477111831,51.686466217041016,1.7605198056884073,1.4068559408187866,2.6682927608489995,3.2130603075027464,13.830681324005141,50,0.2129945456981659,0.03996263866429217,0.03679272532463074,0.04855899251997471,0.05345916766673326,0.11337169907987077
92.0,23.328125,22.5,29.700000000000003,33.54999999999998,59.86999999999987,1.0,12203.0361328125,859.2054076194763,654.9347229003906,920.8754272460938,1125.8224060058583,5429.637890624972,13.582598686218262,1.6644868655130267,1.504357099533081,1.794774353504181,1.9076691269874573,10.205728340148921,edge_length,0.015625,0.12621939182281494,0.019362692488357425,0.01754386629909277,0.019974409230053426,0.020292016491293908,0.06069342456757996,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.19229768216609955,0.05418224501772784,0.051127780228853226,0.08201783895492555,0.08815213479101658,0.1269473781436679,0.021059782608695652,0.021399456521739132,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,3940.384521484375,121.9814419865674,77.39765930175781,241.35285186767595,313.3830581665038,1060.47099365235,1.0,3940.384521484375,470.21084213256836,412.9142608642578,550.5358337402344,573.7167938232421,1853.115733032218,28.859710693359375,1.6492459782349886,1.4037760496139526,2.7064579248428355,3.215529298782348,8.49641654968266,28.85795783996582,1.6742168314934964,1.418817162513733,2.756367301940918,3.2760696411132804,8.85248885154725,75,0.16751015186309814,0.056761363841360435,0.05355655029416084,0.07349986881017685,0.08069134615361691,0.1169334054738281
49.0,3.453125,2.0,6.0,8.849999999999994,24.4299999999999,0.984375,2183.12158203125,250.13123589754105,217.77442932128906,320.1780242919922,355.225942993164,1065.1314801025346,2.9947519302368164,0.9199287435039878,0.8780556321144104,1.0954457521438599,1.1791633665561676,2.167506599426268,edge_length,0.0,0.027986790984869003,0.01334518424118869,0.013251500204205513,0.014996847789734603,0.0154500484932214,0.020819304883480043,2.0,1.90625,2.0,2.0,2.0,2.0,0.21826130151748657,0.08445140218827873,0.07845525443553925,0.13381392359733582,0.14018995091319084,0.18505737379193293,0.06283967391304347,0.0018682065217391305,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,810.3922119140625,61.509278888495274,53.77201461791992,113.0585922241211,131.53306884765624,231.6676380920415,0.921875,810.3922119140625,220.16142296791077,199.97544860839844,305.24822082519535,331.0204040527343,559.5892080688466,6.727646350860596,0.9106648202182639,0.816011369228363,1.590157496929169,1.879947918653488,2.6380611824989355,6.725724697113037,0.92419758980506,0.8319951891899109,1.6179960012435914,1.915535932779312,2.725832109451297,90,0.2028692662715912,0.08718391484580934,0.08301171287894249,0.1258174054324627,0.14913920462131497,0.17831885561346997
7.0,0.484375,0.0,1.0,2.0,5.739999999999995,1.0,671.8598022460938,400.4500060081482,385.5470428466797,528.7120849609375,553.7333953857421,618.7686901855467,1.1441763639450073,0.6712416693335399,0.6669031381607056,0.8122810423374176,0.8808193802833557,1.0193161427974697,edge_length,0.0,0.015206548385322094,0.012266884528798983,0.01238119462504983,0.014162259083241225,0.014722776087000964,0.01515409091487527,2.0,1.265625,1.0,2.0,2.0,2.0,0.2260572761297226,0.11620363860856742,0.10480742901563644,0.18176864534616471,0.21136853173375114,0.22254809513688087,0.11548913043478261,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,303.6220703125,62.48577733659034,61.842185974121094,111.1769157409668,121.03571128845215,134.96594955444337,0.265625,303.6220703125,145.52771377563477,135.1901092529297,174.85666656494146,194.6642181396484,273.6786709594725,3.1468327045440674,0.6644423175074854,0.5985392928123474,1.1860697627067567,1.3890633523464195,1.7968237853050253,13.593631744384766,0.676691033606482,0.6063790619373322,1.2041836857795716,1.4177790403366088,1.8601622474193578,99,0.23072528839111328,0.11803671158850193,0.10367606580257416,0.1767018511891365,0.20902045816183074,0.2237745368480682
20.0,0.453125,0.0,1.0,1.0,8.029999999999951,0.484375,611.0501098632812,72.76724407076836,62.55258560180664,96.20442047119141,114.2484188079833,354.6446568298329,1.6294353008270264,1.0494256410747766,1.0398234724998474,1.0899448990821838,1.1019378304481506,1.4466105699539178,ordered_edge,0.0,0.012614890933036804,0.004402234604640398,0.0042511343490332365,0.004694086173549295,0.004770758980885148,0.00794028819538651,2.0,0.640625,1.0,1.0,1.8499999999999943,2.0,0.01127348281443119,0.003301077325886581,0.0031364010646939278,0.0037672729697078465,0.003844930441118777,0.0067534212069585734,0.005604619565217391,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.421875,64,0.421875,303.3093566894531,33.300210293382406,25.957255363464355,71.7822036743164,88.05479240417473,120.85202690124522,0.15625,303.3093566894531,123.82682192325592,116.99777603149414,155.01293334960937,159.25092697143552,225.63964096069304,3.1444091796875,1.0387788243084366,1.0262330770492554,1.4285932779312134,1.5592466533184048,1.8254692244529727,3.9395148754119873,1.0509159661501737,1.0353691577911377,1.440778410434723,1.575497359037399,1.845623064041138,0,0.01116943173110485,0.00322663322367589,0.0031038260785862803,0.0033632294973358515,0.0034133339067921042,0.00638741955626754
86.0,34.484375,33.0,42.400000000000006,45.69999999999999,60.7999999999999,1.0,7232.326171875,1120.5556573867798,1014.3997497558594,1297.0796997070313,1336.1459045410154,3540.226475830063,8.519387245178223,1.9143596733920276,1.828761637210846,2.147870182991028,2.2886404395103455,6.168198370933532,ordered_edge,0.0,0.08403730392456055,0.019616244491771795,0.01858677715063095,0.020815633423626422,0.021698825526982542,0.045105775669216946,2.0,2.0,2.0,2.0,2.0,2.0,0.08371355384588242,0.016454945580335334,0.015564790461212397,0.018759105168282986,0.01988901402801275,0.044854405000805696,0.01545516304347826,0.04585597826086957,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,2791.3720703125,148.99986088709684,101.42130279541016,324.7465576171875,413.0404022216797,686.7858483886725,1.0,2791.3720703125,607.5993914604187,555.1101379394531,717.9868103027344,863.0113616943357,1624.9417590331984,20.7358455657959,1.8956561010351003,1.6661564707756042,3.2952582359313967,3.920651364326477,5.855744323730473,20.734586715698242,1.9307676573724009,1.6810332536697388,3.3562938928604127,4.012816286087035,6.848055348396303,10,0.07650348544120789,0.016292737229377963,0.015447392128407955,0.017039842531085016,0.01772039486095309,0.03952377805486307
91.0,3.96875,2.0,5.0,5.849999999999994,38.70999999999979,0.984375,15941.3603515625,420.7525416612625,162.0934295654297,286.6336120605469,329.72625122070303,6111.00733001705,18.02769660949707,1.2664951561018825,1.0295305252075195,1.2103776335716248,1.2455047965049744,14.57087206840515,ordered_edge,0.015625,0.17840299010276794,0.01100010336813284,0.008306374307721853,0.009672254230827093,0.010037647001445292,0.07277060121297793,3.0,1.859375,2.0,2.0,2.0,2.3699999999999974,0.17637085914611816,0.021516977954888716,0.018175767734646797,0.027247642353177073,0.029354093316942453,0.0854061342775818,0.03379755434782609,0.014945652173913044,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,4857.447265625,87.29726984436148,48.91803550720215,112.55448760986329,133.48327331542964,1623.2745532226593,0.859375,4857.447265625,251.07766664028168,176.2040557861328,229.77062225341797,251.94925689697257,1965.6326013183477,35.34362030029297,1.2562318647730495,0.9961134791374207,1.7119217991828921,1.9351990878582002,12.475488290786764,35.34147644042969,1.270050637113024,1.0047202110290527,1.7291632533073427,1.9614859759807584,12.469175090789816,25,0.16216686367988586,0.022660765956970863,0.019907917827367783,0.024402059800922873,0.02601887052878737,0.07711079582571949
92.0,22.4375,21.0,29.700000000000003,32.849999999999994,56.089999999999854,1.0,21494.974609375,953.7427072525024,621.8057556152344,916.1320922851563,1001.703463745117,8629.609642333933,23.16404914855957,1.7539949994534254,1.488047182559967,1.7814481854438782,1.8432646989822388,15.83155536651608,ordered_edge,0.015625,0.20551390945911407,0.019090836081886664,0.01608249731361866,0.018231034092605115,0.019087656959891317,0.08881751919165207,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.23744013905525208,0.0376207373192301,0.03443940728902817,0.05111980661749841,0.05704221874475477,0.12792921826243356,0.020889945652173912,0.022418478260869564,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,7176.08984375,134.71663242121448,77.10473251342773,229.45842132568364,300.9498779296872,1818.8849890136735,1.0,7176.08984375,517.6133589744568,397.4759216308594,539.0341674804688,604.801708984375,3081.5314282226395,51.729522705078125,1.7391736800371134,1.3879480957984924,2.6223355770111088,3.127800655364988,13.86014337539674,51.658992767333984,1.760479502162881,1.4069437384605408,2.6694298744201665,3.2129655957221983,13.842747735977184,50,0.21275779604911804,0.0399530109425541,0.03678441420197487,0.04856171533465386,0.0534556183964014,0.11328063059598167
92.0,23.34375,22.5,29.700000000000003,33.54999999999998,59.86999999999987,1.0,12190.974609375,859.0910310745239,655.0581970214844,920.8834167480469,1126.0563049316395,5425.030469970676,13.570160865783691,1.664406532421708,1.5044137835502625,1.7947067618370056,1.9075451791286469,10.203540515899654,ordered_edge,0.015625,0.12613697350025177,0.019361352242412977,0.017542630434036255,0.01997413281351328,0.020290920324623585,0.06066256366670105,3.0,2.015625,2.0,2.0,2.0,2.3699999999999974,0.19219562411308289,0.05417270920588635,0.05112645588815212,0.08200824335217477,0.08815489932894706,0.12690545789897414,0.020889945652173912,0.021399456521739132,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,3938.388916015625,121.97150892776983,77.41058731079102,241.2618988037111,313.28891143798825,1057.5189538574284,1.0,3938.388916015625,470.2091178894043,413.14830017089844,550.5079040527344,574.0502807617187,1852.468529052726,28.84560203552246,1.6491658086796752,1.4044017791748047,2.705669283866883,3.2146055817604067,8.475549411773729,28.84385108947754,1.6741386161503096,1.4182588458061218,2.758684492111206,3.2759691238403312,8.854901342391972,75,0.16737492382526398,0.05675183216226287,0.053547997027635574,0.07349239960312844,0.08069329038262367,0.11688045620918253
49.0,3.453125,2.0,6.0,8.849999999999994,24.4299999999999,0.984375,2179.41064453125,250.03642970323563,217.72579193115234,320.15791625976567,355.3118606567382,1063.7300363159134,2.9913625717163086,0.9199770637787879,0.8781831860542297,1.0955259203910828,1.1791399419307709,2.1669651150703415,ordered_edge,0.0,0.027966100722551346,0.01334514374320861,0.013250865042209625,0.014996812958270312,0.015450590616092084,0.02081229019910094,2.0,1.90625,2.0,2.0,2.0,2.0,0.2182781994342804,0.08444672869518399,0.0784497782588005,0.1338274657726288,0.14020017236471174,0.18506573826074588,0.06300951086956522,0.0018682065217391305,0.0,1.0,1.0,1.0,1.0,1.0,1.0,64,0.0,64,0.0,809.3302001953125,61.50827365584479,53.73872375488281,112.97126235961917,131.59367141723632,231.77894409179737,0.921875,809.3302001953125,220.17610502243042,200.06729888916016,305.4192230224609,330.8470336914062,559.2413488769521,6.72014045715332,0.9107126942505167,0.815863311290741,1.5907113909721378,1.8793162822723384,2.6388482069969212,6.7182207107543945,0.9242465816488498,0.8315390646457672,1.6180720567703248,1.9153295814990992,2.727720160484317,90,0.20288912951946259,0.08717868238454685,0.08300111815333366,0.12582773938775063,0.1491473227739334,0.17832664623856534
