best4_chamfer,config,epoch,mode,ordered_support,sample_validity,seed,total_loss
0.07010524577515967,v_baseline_replay,600,pilot,1.0,0.0,31440,0.36133841052651405
0.06969643775008473,v_baseline_replay,625,pilot,1.0,0.0,31440,0.3468804322183132
0.06949574412668452,v_baseline_replay,650,pilot,1.0,0.0,31440,0.3512538857758045
0.06932071410119534,v_baseline_replay,675,pilot,1.0,0.0,31440,0.34952497482299805
0.06904329571361635,v_baseline_replay,700,pilot,1.0,0.0,31440,0.3402255140244961
0.06859182230397767,v_baseline_replay,725,pilot,1.0,0.0,31440,0.32760726287961006
0.06814906545275566,v_baseline_replay,750,pilot,1.0,0.0,31440,0.3283759020268917
0.08346616600950559,edge_length,25,pilot,1.0,0.0,31440,1.065226435661316
0.08322823723303337,edge_length,50,pilot,1.0,0.0,31440,1.3932703137397766
0.0828322396412784,edge_length,75,pilot,1.0,0.0,31440,1.292262241244316
0.08213005233190808,edge_length,100,pilot,1.0,0.0,31440,1.2814762890338898
0.08097854004625012,edge_length,125,pilot,1.0,0.0,31440,1.1032260656356812
0.07899510108080565,edge_length,150,pilot,1.0,0.0,31440,0.9848195537924767
0.07651926865618602,edge_length,175,pilot,1.0,0.0,31440,0.9027785956859589
0.07379909579222109,edge_length,200,pilot,1.0,0.0,31440,0.8623964041471481
0.0715297640611728,edge_length,225,pilot,1.0,0.0,31440,0.8143676072359085
0.0699339916235676,edge_length,250,pilot,1.0,0.0,31440,0.7837875112891197
0.06864251039337878,edge_length,275,pilot,1.0,0.0,31440,0.7588950842618942
0.0677165682336279,edge_length,300,pilot,1.0,0.0,31440,0.7293792888522148
0.06675621248124276,edge_length,325,pilot,1.0,0.0,31440,0.7241890206933022
0.0658405823815687,edge_length,350,pilot,1.0,0.0,31440,0.6981205567717552
0.06513112823606707,edge_length,375,pilot,1.0,0.0,31440,0.672929435968399
0.06468803404519956,edge_length,400,pilot,1.0,0.0,31440,0.6732228770852089
0.06470173400114565,edge_length,425,pilot,1.0,0.0,31440,0.6621920019388199
0.06453963874967075,edge_length,450,pilot,1.0,0.0,31440,0.633657917380333
0.06431839385015123,edge_length,475,pilot,1.0,0.0,31440,0.6230507642030716
0.06454080062023565,edge_length,500,pilot,1.0,0.0,31440,0.6278450191020966
0.06457661718641426,edge_length,525,pilot,1.0,0.0,31440,0.6135755032300949
0.06456691267735817,edge_length,550,pilot,1.0,0.0,31440,0.6072166711091995
0.06470236425087147,edge_length,575,pilot,1.0,0.0,31440,0.5930300429463387
0.06477023146170027,edge_length,600,pilot,1.0,0.0,31440,0.5919739305973053
0.06462455734464467,edge_length,625,pilot,1.0,0.0,31440,0.5850116610527039
0.06463435555205625,edge_length,650,pilot,1.0,0.0,31440,0.5832228139042854
0.06446629636647071,edge_length,675,pilot,1.0,0.0,31440,0.571426048874855
0.0646787841676497,edge_length,700,pilot,1.0,0.0,31440,0.5678446739912033
0.0648415651281967,edge_length,725,pilot,1.0,0.0,31440,0.5576336830854416
0.064959200373029,edge_length,750,pilot,1.0,0.0,31440,0.5598844215273857
0.08346616619211786,ordered_edge,25,pilot,1.0,0.0,31440,1.065322607755661
0.08322824256531164,ordered_edge,50,pilot,1.0,0.0,31440,1.393477350473404
0.08283225180325555,ordered_edge,75,pilot,1.0,0.0,31440,1.2925941944122314
0.08213009206833792,ordered_edge,100,pilot,1.0,0.0,31440,1.28184874355793
0.08097860710147549,ordered_edge,125,pilot,1.0,0.0,31440,1.1035424023866653
0.07899513844327599,ordered_edge,150,pilot,1.0,0.0,31440,0.9851157739758492
0.0765192039383977,ordered_edge,175,pilot,1.0,0.0,31440,0.9030559211969376
0.07379915492207396,ordered_edge,200,pilot,1.0,0.0,31440,0.8626580312848091
0.0715297280135108,ordered_edge,225,pilot,1.0,0.0,31440,0.8145973831415176
0.06993342629250358,ordered_edge,250,pilot,1.0,0.0,31440,0.7840546816587448
0.06864176345441271,ordered_edge,275,pilot,1.0,0.0,31440,0.7591677308082581
0.06771555875300192,ordered_edge,300,pilot,1.0,0.0,31440,0.729643739759922
0.06675314990913167,ordered_edge,325,pilot,1.0,0.0,31440,0.7243915721774101
0.06583786361357745,ordered_edge,350,pilot,1.0,0.0,31440,0.698354996740818
0.06512803597120094,ordered_edge,375,pilot,1.0,0.0,31440,0.673110269010067
