bead_xy_mse,final_xy_chamfer,final_xy_chamfer_ci_high,final_xy_chamfer_ci_low,full_state_mse,input_variant,model,robot_proxy_mse,rows,split,subset,training_seed,trajectory_xy_chamfer,trajectory_xy_chamfer_ci_high,trajectory_xy_chamfer_ci_low,visible_seeds
0.05761205777525902,0.23997435528178548,0.2654642620116703,0.21485962138322065,0.04669235646724701,paper_state,last_state_repeat,0.03325271978974342,129,test,pre_engagement_hidden_v2,none,0.22557417304286353,0.25060898091590694,0.2023029256389381,128
0.10857817530632019,0.2106960006976402,0.23814812296209495,0.1839649370507835,0.08419457077980042,paper_state,xy_constant_velocity_robot_hold,0.054183974862098694,608,val,all,none,0.1512583092037701,0.17088176078940429,0.13260883071943064,64
0.09800265729427338,0.21994867531390375,0.24807527217866535,0.192049264938296,0.07192101329565048,paper_state,xy_constant_velocity_robot_hold,0.039820510894060135,368,val,pre_engagement,none,0.1678827067662496,0.19006490165430184,0.14709703134462035,64
0.11048959940671921,0.21766137311198308,0.246529301048737,0.19066810898714162,0.07915140688419342,paper_state,xy_constant_velocity_robot_hold,0.04058132320642471,304,val,free,none,0.15654596051082767,0.17678259571291263,0.13724388347895447,64
0.10666675120592117,0.2037306282832973,0.23061406069766546,0.1778099373901231,0.08923773467540741,paper_state,xy_constant_velocity_robot_hold,0.06778663396835327,304,val,hidden_v2,none,0.14597065789671249,0.16588347724076888,0.12713158522901455,64
0.11048959940671921,0.21766137311198308,0.24570621371684995,0.19047516361680364,0.07915140688419342,paper_state,xy_constant_velocity_robot_hold,0.04058132320642471,304,val,pre_engagement_free,none,0.15654596051082767,0.17691280050253516,0.13761880851184277,64
0.052468378096818924,0.23081336077302694,0.26627560374327003,0.19704348428931553,0.045554980635643005,paper_state,xy_constant_velocity_robot_hold,0.03704618290066719,64,val,pre_engagement_hidden_v2,none,0.22173225147950387,0.2553589975166687,0.18971235965072994,64
0.11856947094202042,0.21707913830648778,0.2406989324059081,0.1947001981472623,0.0873475894331932,paper_state,xy_constant_velocity_robot_hold,0.048920631408691406,1208,test,all,none,0.15464181690857218,0.17137683062111736,0.13874849115228213,128
0.10705011337995529,0.2270782133430944,0.25052169268912494,0.2048844301324728,0.0721590667963028,paper_state,xy_constant_velocity_robot_hold,0.029216226190328598,733,test,pre_engagement,none,0.17198653589611598,0.18968089501734636,0.1551863645341222,128
0.12085901200771332,0.22422552753983077,0.24838062162683144,0.2015163828601975,0.0792715921998024,paper_state,xy_constant_velocity_robot_hold,0.028087066486477852,604,test,free,none,0.16047148537755507,0.1770084115236354,0.14435049619302398,128
