best16_error,best32_error,best4_error,best8_error,both_supported_k16,both_supported_k32,branch_eligible,branch_separation,condition,deterministic_error,diversity,k1_error,pair_key,physical_valid_candidate_k16,sample_mean_error,visible_seed
6.5710673332214355,6.5710673332214355,28.605676651000977,22.764219284057617,False,False,True,0.09753638505935669,hidden_slack_breakaway_pin_v2,0.1344001293182373,30.894163671039767,29.39938735961914,test|420030|0,False,2.203068733215332,420030
11.148759841918945,11.148759841918945,15.510889053344727,15.510889053344727,False,False,True,0.004905070178210735,free,0.1477363556623459,28.555418390420176,23.119205474853516,test|420032|0,False,2.2542128562927246,420032
13.939626693725586,8.877477645874023,23.032302856445312,15.455078125,False,False,True,0.004905070178210735,hidden_slack_breakaway_pin_v2,0.14592279493808746,26.04800680664278,75.76211547851562,test|420032|0,False,4.886186122894287,420032
12.439827919006348,8.27526569366455,12.439827919006348,12.439827919006348,False,False,True,0.005285182967782021,free,0.28535038232803345,27.968158341223194,30.393531799316406,test|420033|0,False,1.359784722328186,420033
15.677152633666992,12.34969425201416,17.633563995361328,15.677152633666992,False,False,True,0.005285182967782021,hidden_slack_breakaway_pin_v2,0.2821823060512543,29.17929485247981,38.56342315673828,test|420033|0,False,3.2797775268554688,420033
9.001765251159668,9.001765251159668,9.001765251159668,9.001765251159668,False,False,True,0.0057153538800776005,free,0.06727348268032074,30.594020000388547,9.001765251159668,test|420034|0,False,3.6135621070861816,420034
12.010482788085938,12.010482788085938,12.010482788085938,12.010482788085938,False,False,True,0.0057153538800776005,hidden_slack_breakaway_pin_v2,0.06266800314188004,26.730259172378048,12.010482788085938,test|420034|0,False,8.506900787353516,420034
11.073840141296387,11.073840141296387,11.073840141296387,11.073840141296387,False,False,True,0.07284864783287048,free,0.07032769918441772,32.861774368632226,24.103927612304688,test|420035|0,False,4.722767353057861,420035
12.164251327514648,8.944114685058594,25.675155639648438,14.123397827148438,False,False,True,0.07284864783287048,hidden_slack_breakaway_pin_v2,0.13596954941749573,24.649893258848497,57.63670349121094,test|420035|0,False,10.040596008300781,420035
13.347043991088867,8.058282852172852,13.347043991088867,13.347043991088867,False,False,True,0.0038983256090432405,free,0.17963284254074097,29.51554891947777,27.02062225341797,test|420037|0,False,2.632129192352295,420037
9.735015869140625,9.735015869140625,9.735015869140625,9.735015869140625,False,False,True,0.0038983256090432405,hidden_slack_breakaway_pin_v2,0.17710724472999573,31.70739462010322,21.286462783813477,test|420037|0,False,8.056407928466797,420037
8.262680053710938,8.262680053710938,8.262680053710938,8.262680053710938,False,False,True,0.004000054206699133,free,0.11912397295236588,27.268210479328708,20.917308807373047,test|420038|0,False,2.597385883331299,420038
10.174053192138672,10.174053192138672,15.479691505432129,13.587085723876953,False,False,True,0.004000054206699133,hidden_slack_breakaway_pin_v2,0.11900454014539719,25.55269973124227,15.479691505432129,test|420038|0,False,4.699040412902832,420038
