bad_segment_constraint_count_max,bad_segment_constraint_count_mean,bad_segment_constraint_count_p50,bad_segment_constraint_count_p90,bad_segment_constraint_count_p95,bad_segment_constraint_count_p99,chain_family_failure_rate,chain_family_score_max,chain_family_score_mean,chain_family_score_p50,chain_family_score_p90,chain_family_score_p95,chain_family_score_p99,chain_ratio_target_max,chain_ratio_target_mean,chain_ratio_target_p50,chain_ratio_target_p90,chain_ratio_target_p95,chain_ratio_target_p99,config,coordinate_failure_rate,edge_vector_rmse_max,edge_vector_rmse_mean,edge_vector_rmse_p50,edge_vector_rmse_p90,edge_vector_rmse_p95,edge_vector_rmse_p99,failed_category_count_max,failed_category_count_mean,failed_category_count_p50,failed_category_count_p90,failed_category_count_p95,failed_category_count_p99,final_ordered_rmse_max,final_ordered_rmse_mean,final_ordered_rmse_p50,final_ordered_rmse_p90,final_ordered_rmse_p95,final_ordered_rmse_p99,gross_compression_fraction_center,gross_stretch_fraction_center,quaternion_failure_rate,quaternion_norm_max,quaternion_norm_mean,quaternion_norm_p50,quaternion_norm_p90,quaternion_norm_p95,quaternion_norm_p99,query_count,query_has_valid_candidate_rate,sample_count,sample_validity_rate,segment_element_score_max,segment_element_score_mean,segment_element_score_p50,segment_element_score_p90,segment_element_score_p95,segment_element_score_p99,segment_family_failure_rate,segment_family_score_max,segment_family_score_mean,segment_family_score_p50,segment_family_score_p90,segment_family_score_p95,segment_family_score_p99,segment_ratio_center_max,segment_ratio_center_mean,segment_ratio_center_p50,segment_ratio_center_p90,segment_ratio_center_p95,segment_ratio_center_p99,segment_ratio_target_max,segment_ratio_target_mean,segment_ratio_target_p50,segment_ratio_target_p90,segment_ratio_target_p95,segment_ratio_target_p99,start_mode,timestep,trajectory_ordered_rmse_max,trajectory_ordered_rmse_mean,trajectory_ordered_rmse_p50,trajectory_ordered_rmse_p90,trajectory_ordered_rmse_p95,trajectory_ordered_rmse_p99
3.0,1.375,1.0,2.5,3.0,3.0,0.875,302.3216247558594,169.9841115474701,151.0341033935547,283.781494140625,300.46065521240234,301.94943084716795,1.2090777158737183,1.003869921900332,1.0351110696792603,1.116845679283142,1.1604758858680726,1.206733261346817,v_baseline_replay,0.0,0.018657153472304344,0.015610960661433637,0.01523192971944809,0.018272165209054947,0.018600970972329378,0.01864591697230935,2.0,1.75,2.0,2.0,2.0,2.0,0.3219206929206848,0.19615584798157215,0.1938275843858719,0.28774936497211456,0.29697706550359726,0.3169319674372673,0.022418478260869564,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,228.66641235351562,45.88114730255557,38.79281806945801,93.77984619140628,112.6591091156006,153.61590713500968,0.875,228.66641235351562,162.09837579727173,160.51927947998047,214.7772674560547,227.52801132202148,228.4387321472168,2.616755485534668,0.9953137190364625,0.9478318989276886,1.5629881262779246,1.7171259045600893,2.0859632134437556,4.713328838348389,1.0097135891884808,0.9591779112815857,1.599121701717377,1.749403411149979,2.1525972986221307,pure_noise,50,0.3098961114883423,0.19005694286897779,0.190831758081913,0.27239060401916504,0.28434279561042786,0.3047854483127594
5.0,2.375,2.5,4.5,5.0,5.0,0.875,269.5533142089844,165.9155457019806,163.20733642578125,247.01747131347656,264.22796630859375,268.4882446289063,1.2128567695617676,1.0232151206582785,1.0403202176094055,1.1886420130729676,1.1951085925102234,1.210533118247986,v_baseline_replay,0.0,0.018078189343214035,0.015863927197642624,0.015827292576432228,0.01793933752924204,0.01805119402706623,0.018072790279984475,2.0,1.625,2.0,2.0,2.0,2.0,0.3202430009841919,0.19476953009143472,0.19822148233652115,0.28196920454502106,0.2923096939921379,0.3146563395857811,0.027853260869565216,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,280.6112060546875,50.16468407171171,42.750566482543945,103.99517517089846,124.95502319335938,168.52590911865227,0.75,280.6112060546875,186.83603954315186,180.85145568847656,256.01551818847656,274.16351318359375,279.32166748046876,2.98427152633667,1.0143537765062596,0.9622069895267487,1.6069841265678408,1.8707026720046998,2.19116443157196,3.275038242340088,1.0271091822942253,0.9680112898349762,1.637074673175812,1.8871648848056795,2.4116645526885976,pure_noise,25,0.3084311783313751,0.18877186998724937,0.19203775376081467,0.2670823484659195,0.2798936814069748,0.30272367894649505
7.0,3.3125,3.0,7.0,7.0,7.0,1.0,252.50149536132812,184.53236436843872,192.16516876220703,250.35746002197266,251.11924362182617,252.22504501342775,1.262204647064209,1.0568837830796838,1.0696532726287842,1.2246418118476867,1.2537698209285737,1.2616179513931274,v_baseline_replay,0.0,0.018217245116829872,0.01614154886920005,0.016153501346707344,0.018193677999079227,0.01820063218474388,0.018213922530412673,2.0,2.0,2.0,2.0,2.0,2.0,0.31929343938827515,0.1942440290004015,0.1987866461277008,0.2802054136991501,0.2907711863517761,0.31358898878097535,0.020380434782608696,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,323.58349609375,52.92655426331634,42.34335136413574,111.67139434814455,131.95411682128906,187.23478820800773,1.0,323.58349609375,217.31075477600098,193.86065673828125,292.1397247314453,316.8942413330078,322.2456451416016,3.2881393432617188,1.0477312688396878,0.9910429120063782,1.7091679215431215,1.9221699535846712,2.323871836662292,3.5164635181427,1.0611454381774503,0.9966688752174377,1.746970081329346,1.9515793263912202,2.612601311206815,pure_noise,10,0.30783510208129883,0.18853108724579215,0.19227267056703568,0.2653786987066269,0.2784387841820717,0.3019558385014534
7.0,4.25,5.0,6.5,7.0,7.0,0.875,296.3657531738281,206.55275750160217,230.9500503540039,281.51348876953125,291.45177459716797,295.3829574584961,1.313470721244812,1.0677966084331274,1.058587908744812,1.2490252733230591,1.2951809942722319,1.3071838700771332,v_baseline_replay,0.0,0.01858055219054222,0.016265212616417557,0.01630590669810772,0.01815584022551775,0.01828378951177001,0.018521199654787778,2.0,1.875,2.0,2.0,2.0,2.0,0.31909245252609253,0.19418480666354299,0.1994253545999527,0.2797967940568924,0.2904204651713371,0.3133580550551414,0.01970108695652174,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,367.7339172363281,53.709944136258535,42.99985885620117,112.44857101440431,140.06221160888674,213.08911361694328,1.0,367.7339172363281,236.06425666809082,226.44293212890625,322.45631408691406,360.38880157470703,366.26489410400393,3.6003379821777344,1.0586138874603659,0.9920937120914459,1.7290161371231088,1.990036016702652,2.506799416542053,3.6010982990264893,1.0716971125625803,0.9955562949180603,1.751267540454865,2.002908748388291,2.671583728790278,pure_noise,0,0.30776146054267883,0.18857810366898775,0.19250654429197311,0.2650257349014282,0.27815215289592743,0.3018395990133285
2.0,0.3125,0.0,1.0,1.25,1.8499999999999996,1.0,599.48876953125,392.12194633483887,377.39381408691406,475.3204650878906,510.3416290283203,581.659341430664,0.9119998216629028,0.6623400230892003,0.6736815869808197,0.7739251673221588,0.7831725597381591,0.8589552330970762,edge_length,0.0,0.014346356503665447,0.012238947965670377,0.012250796426087618,0.013864046428352594,0.014039853354915977,0.014285055873915552,2.0,1.25,1.0,2.0,2.0,2.0,0.19890150427818298,0.135489025618881,0.1359054371714592,0.18543633818626404,0.1978292129933834,0.19868704602122306,0.11209239130434782,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,223.70327758789062,61.4551598784696,61.64035987854004,109.49648818969727,119.55355911254884,132.5875566101074,0.25,223.70327758789062,140.9239740371704,135.61524963378906,150.98929595947266,169.2759780883789,212.81781768798825,2.581871747970581,0.6564873451602382,0.5950581431388855,1.1492872714996338,1.3621982395648957,1.6831182122230526,2.5820610523223877,0.6659716646403389,0.6011082231998444,1.1693490624427798,1.3941971480846407,1.8369943046569819,truth_noised,99,0.18832716345787048,0.13391610700637102,0.13130126148462296,0.18061623722314835,0.18820936977863312,0.188303604722023
0.0,0.0,0.0,0.0,0.0,0.0,1.0,878.6101684570312,775.7980690002441,785.8201599121094,850.3373718261719,878.2861175537109,878.5453582763672,0.40147653222084045,0.2634400320239365,0.258324533700943,0.326171875,0.35876666456460937,0.4009742134809494,edge_length,0.0,0.011287325993180275,0.010197799652814865,0.01028227899223566,0.010893899947404861,0.011011514579877257,0.01123216371051967,1.0,1.0,1.0,1.0,1.0,1.0,0.24932992458343506,0.14583218889310956,0.15077943354845047,0.18751709908246994,0.20998955145478249,0.24146184995770453,0.5074728260869565,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,140.73080444335938,104.50563723108043,106.37613677978516,128.36996154785157,131.77601776123046,138.1249136352539,0.0,140.73080444335938,137.53698635101318,138.43335723876953,140.39038848876953,140.5352020263672,140.69168395996093,0.7014800906181335,0.26119373193891393,0.24813080579042435,0.4460898607969284,0.5008359849452972,0.6293423181772231,1.136060118675232,0.26480488626681187,0.24996857345104218,0.4559649646282197,0.5154463768005372,0.6383068162202834,truth_noised,90,0.24816423654556274,0.14318289048969746,0.14291147887706757,0.18510092049837112,0.21204134076833725,0.24093965739011763
0.0,0.0,0.0,0.0,0.0,0.0,1.0,928.52978515625,797.5876159667969,800.7160339355469,915.1265869140625,927.8346252441406,928.3907531738281,0.4311105012893677,0.24986046296544373,0.23956529051065445,0.3476361006498337,0.3815797552466391,0.43081212162971494,edge_length,0.0,0.012109753675758839,0.010222641460131854,0.010123238433152437,0.011546730063855648,0.01179799996316433,0.012047402933239937,1.0,1.0,1.0,1.0,1.0,1.0,0.289978563785553,0.14842201117426157,0.12909697741270065,0.2140718474984169,0.24985019117593765,0.2819528892636299,0.5264945652173914,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,139.578369140625,106.40607860036518,107.5300064086914,127.72526016235352,131.88854370117187,136.41929290771483,0.0,139.578369140625,134.77786350250244,135.1442642211914,139.04124450683594,139.45794296264648,139.5542839050293,0.704634964466095,0.24775655811865124,0.23966344445943832,0.4147324562072754,0.4719150021672249,0.5647719812393188,0.9890106320381165,0.2510824607281551,0.24312849342823029,0.4168326258659363,0.4806983068585396,0.5880833840370175,truth_noised,75,0.2873276472091675,0.14678342966362834,0.12558600679039955,0.2092280387878418,0.249594084918499,0.27978093475103377
0.0,0.0,0.0,0.0,0.0,0.0,1.0,864.8623657226562,725.5988845825195,731.6467895507812,855.0806274414062,863.4780426025391,864.5855010986328,0.5310570001602173,0.3164882925339043,0.3089839071035385,0.48625307977199556,0.5074207857251166,0.5289909482002259,edge_length,0.0,0.013328500092029572,0.010201305150985718,0.009854865726083517,0.012452834285795689,0.012882060371339321,0.01323921214789152,1.0,1.0,1.0,1.0,1.0,1.0,0.30937162041664124,0.1493847076781094,0.12710736691951752,0.2255309373140335,0.26885461807250977,0.30126821994781494,0.40964673913043476,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,139.44384765625,97.05295224552569,99.2992172241211,125.43899154663086,130.2126106262207,135.90275314331055,0.0,139.44384765625,132.10112714767456,134.87627410888672,139.11756134033203,139.34004974365234,139.42308807373047,0.8226138353347778,0.31387492775494413,0.29796645045280457,0.5453619718551637,0.598645493388176,0.7162705993652342,1.1776175498962402,0.31808297152367787,0.3017023950815201,0.5528518557548523,0.6100383549928665,0.7419723987579344,truth_noised,50,0.30636775493621826,0.14786667237058282,0.12491602450609207,0.2205912247300148,0.26851069927215576,0.29879634380340575
0.0,0.0,0.0,0.0,0.0,0.0,1.0,853.9668579101562,735.5223808288574,723.4392700195312,852.0520324707031,852.5751190185547,853.688510131836,0.4869234561920166,0.30587607924826443,0.29641006886959076,0.44376463890075685,0.47028535604476923,0.4848890596628189,edge_length,0.0,0.01296550314873457,0.01010616507846862,0.009901767130941153,0.012168161571025848,0.012534604175016284,0.012879323353990913,1.0,1.0,1.0,1.0,1.0,1.0,0.3068377375602722,0.14830423844978213,0.12436320632696152,0.22226065397262573,0.2666873261332512,0.29880765527486797,0.4014945652173913,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,140.2234344482422,98.53781292879063,100.11465072631836,126.24070663452149,129.90716094970702,136.10881881713865,0.0,140.2234344482422,132.2132067680359,135.4472885131836,139.1759033203125,140.16961288452148,140.21267013549806,0.8267785310745239,0.3033778734255896,0.2922915816307068,0.5101954042911531,0.5709560602903366,0.6745473396778106,1.2532814741134644,0.30764897386783874,0.29410186409950256,0.5193316102027894,0.5806808620691299,0.6993540734052657,truth_noised,25,0.30364131927490234,0.1468223282136023,0.12348876520991325,0.21739019453525543,0.2659486383199692,0.2961027830839157
0.0,0.0,0.0,0.0,0.0,0.0,1.0,868.6471557617188,743.0451393127441,730.3309631347656,858.3749694824219,865.1740112304688,867.9525268554687,0.4997692108154297,0.30348325916565955,0.304288849234581,0.4452351093292236,0.4688558623194693,0.49800345361232756,edge_length,0.0,0.012992977164685726,0.010106395551702008,0.009878400713205338,0.012097921222448349,0.012488313252106309,0.012892044382169843,1.0,1.0,1.0,1.0,1.0,1.0,0.3059965670108795,0.14853138057515025,0.12483366951346397,0.22159374505281448,0.26581262797117233,0.29795977920293804,0.40964673913043476,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0.0,16,0.0,138.4021453857422,98.87210546628289,100.39893341064453,126.51933288574219,130.9683334350586,135.9779202270508,0.0,138.4021453857422,132.49860954284668,131.7890853881836,137.74891662597656,137.94256210327148,138.31022872924805,0.8149281740188599,0.3010144002492661,0.2901327610015869,0.517175602912903,0.5675324946641923,0.6612530589103698,1.1516900062561035,0.3051078798636571,0.29292435944080353,0.5225674569606782,0.571998479962349,0.6716824996471404,truth_noised,10,0.3027442991733551,0.14687295211479068,0.12360363826155663,0.2167675569653511,0.2650657668709755,0.29520859271287914
