config,elapsed_seconds,epoch,prediction_type,schedule_kind,seed,train_objective_mse,val_best4,val_k1,val_physical_validity,val_query_validity,val_z_abs_max,val_z_abs_p99
epsilon_cosine_cap_0p5,23.289560317993164,575,epsilon,cosine_capped,31433,0.21571030095219612,0.527763589924457,1.0686608533941062,0.0,0.0,79.14090728759766,29.028162631988504
epsilon_cosine_cap_0p5,24.297258853912354,600,epsilon,cosine_capped,31433,0.19689783826470375,0.527700950263762,1.0668769597130663,0.0,0.0,79.3888931274414,28.977295074462884
epsilon_cosine_cap_0p5,25.302438259124756,625,epsilon,cosine_capped,31433,0.20383907668292522,0.5291204237762619,1.0660900770156991,0.0,0.0,78.62903594970703,28.901474437713592
epsilon_cosine_cap_0p5,26.305054903030396,650,epsilon,cosine_capped,31433,0.20688426867127419,0.5319009709591959,1.0660348801928408,0.0,0.0,78.02887725830078,28.862069015502925
epsilon_cosine_cap_0p5,27.309072732925415,675,epsilon,cosine_capped,31433,0.2169141173362732,0.5337906880121605,1.0668092121680577,0.0,0.0,78.18289947509766,28.779726562499985
epsilon_cosine_cap_0p5,28.302668809890747,700,epsilon,cosine_capped,31433,0.2031926941126585,0.5346624095942459,1.0673270801118775,0.0,0.0,80.60051727294922,28.699634113311767
epsilon_cosine_cap_0p5,29.313486576080322,725,epsilon,cosine_capped,31433,0.19925415143370628,0.5343854661081352,1.067365654835514,0.0,0.0,83.63951110839844,28.699900360107414
epsilon_cosine_cap_0p5,30.32968306541443,750,epsilon,cosine_capped,31433,0.210734898224473,0.5342383533716202,1.0688932495666486,0.0,0.0,86.29798889160156,28.71322273254391
sample_cosine,0.987959623336792,25,sample,cosine_original,31431,0.20276835188269615,0.12386615928627696,0.12388280559988583,0.0,0.0,0.08919709175825119,0.06220480818301439
sample_cosine,1.9822120666503906,50,sample,cosine_original,31431,0.16064969822764397,0.1237304516355781,0.12376126800389851,0.0,0.0,0.1124836653470993,0.07282289117574692
