visible_seed,condition_a,condition_b,file_a,file_b,initial_chamfer,initial_ordered_l2,action_distance,rgb_mean_abs_diff,rgb_max_abs_diff,depth_mean_abs_diff,depth_max_abs_diff,final_chamfer,final_ordered_l2,trajectory_chamfer,contact_diff,success_a,success_b,success_diff,final_fraction_a,final_fraction_b,final_curve_a,final_curve_b,branch_a,branch_b,visible_pass,action_pass,contact_pass,future_pass,ccda_state,ccda_success,failure_reason
14,free,hidden_high_friction,000014-8.pkl,000014-6.pkl,0.00036052954965271056,0.00018026477482635528,6.978067389142082e-08,0.003674045205116272,176.0,1.2547520782391075e-06,0.02713596820831299,0.01903507485985756,0.01771482639014721,0.028709307002524536,True,True,True,False,1.0,1.0,0.0035294124390929937,0.003798719262704253,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
14,hidden_pin,hidden_high_friction,000014-5.pkl,000014-6.pkl,0.00035575346555560827,0.00017787673277780414,1.0243837261276151e-07,0.003661024384200573,176.0,1.2470866295188898e-06,0.02713596820831299,0.409866601228714,0.3136845827102661,0.42035900354385375,True,False,True,True,0.0,1.0,0.012154418043792248,0.003798719262704253,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
15,free,hidden_pin,000015-7.pkl,000015-1.pkl,6.721195677528158e-05,3.360597838764079e-05,1.310084153137959e-08,0.0009592013666406274,99.0,3.152249519189354e-07,0.0146254301071167,0.9099757671356201,0.563142716884613,0.9399129152297974,True,True,False,True,1.0,0.0,0.004555732477456331,0.010296671651303768,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
15,free,hidden_high_friction,000015-7.pkl,000015-8.pkl,0.00021333976474124938,0.00010666988237062469,1.3254628522025252e-07,0.0015917968703433871,101.0,5.527977577912679e-07,0.015686094760894775,0.011241111904382706,0.008513509295880795,0.01980934212250369,True,True,True,False,1.0,1.0,0.004555732477456331,0.003572868648916483,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
15,hidden_pin,hidden_high_friction,000015-1.pkl,000015-8.pkl,0.00018337259825784713,9.168629912892357e-05,1.2697072834979935e-07,0.0010731336660683155,76.0,4.347388653513917e-07,0.01478201150894165,0.9013527631759644,0.5614843964576721,1.064847707748413,True,False,True,True,0.0,1.0,0.010296671651303768,0.003572868648916483,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
16,free,hidden_pin,000016-7.pkl,000016-1.pkl,2.526531352486927e-05,1.2632656762434635e-05,2.2717361023208103e-07,0.0003830295172519982,105.0,1.2916513014715747e-07,0.010528504848480225,0.3318309783935547,0.192237988114357,0.09654717147350311,True,True,False,True,1.0,0.0,0.004587620962411165,0.010177009738981724,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
16,free,hidden_high_friction,000016-7.pkl,000016-10.pkl,0.00016706401947885752,8.353200973942876e-05,1.7024939989386876e-07,0.001282552140764892,105.0,4.59768443761277e-07,0.013197779655456543,0.012496288865804672,0.01072128489613533,0.016612776422074864,True,True,True,False,1.0,1.0,0.004587620962411165,0.003093004459515214,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
16,hidden_pin,hidden_high_friction,000016-1.pkl,000016-10.pkl,0.00017515121726319194,8.757560863159597e-05,2.4833285091777467e-07,0.0011903211707249284,106.0,3.98937373802255e-07,0.013488829135894775,0.3299609422683716,0.19447378814220428,0.12379945814609528,True,False,True,True,0.0,1.0,0.010177009738981724,0.003093004459515214,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
17,free,hidden_pin,000017-6.pkl,000017-1.pkl,0.0002947230532299727,0.00014736152661498636,8.831883163808228e-05,0.0017979600233957171,96.0,5.908942739552003e-07,0.020737826824188232,0.29407405853271484,0.20580141246318817,0.14841493964195251,True,True,False,True,1.0,0.0,0.004216077271848917,0.013037582859396935,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
17,free,hidden_high_friction,000017-6.pkl,000017-6.pkl,0.00023230740043800324,0.00011615370021900162,0.0003967123565735755,0.0021430121269077063,96.0,6.49094090476865e-07,0.021739065647125244,0.016060497611761093,0.009408831596374512,0.015124681405723095,True,True,True,False,1.0,1.0,0.004216077271848917,0.004592415411025286,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
17,hidden_pin,hidden_high_friction,000017-1.pkl,000017-6.pkl,0.00038062353269197047,0.00019031176634598523,0.0004519532833780561,0.0022721353452652693,89.0,6.689436986562214e-07,0.023269355297088623,0.28669142723083496,0.2007496953010559,0.24376830458641052,True,False,True,True,0.0,1.0,0.013037582859396935,0.004592415411025286,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
18,free,hidden_pin,000018-7.pkl,000018-10.pkl,0.0003549541288521141,0.00017747706442605704,8.1676421324154e-05,0.0021679687779396772,151.0,7.502183620999858e-07,0.015156269073486328,0.615308940410614,0.3600553572177887,0.5161031527178628,True,True,False,True,1.0,0.0,0.006743356119841337,0.01272621750831604,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
18,free,hidden_high_friction,000018-7.pkl,000018-9.pkl,0.002086111344397068,0.0013587744906544685,0.00018398500011338815,0.0217556431889534,167.0,5.495329332916299e-06,0.037735164165496826,0.014602746814489365,0.010910573415458202,0.022010678159339086,True,True,True,False,1.0,1.0,0.006743356119841337,0.003551344620063901,success_line,weak_contact_success,False,True,True,False,False,False,visible_not_similar_or_rgbd_leakage
18,hidden_pin,hidden_high_friction,000018-10.pkl,000018-9.pkl,0.002039583632722497,0.0013160145608708262,0.00014458105645396492,0.021675346419215202,167.0,5.0518779062258545e-06,0.034212708473205566,0.6172236800193787,0.3587013781070709,0.5404302544063992,True,False,True,True,0.0,1.0,0.01272621750831604,0.003551344620063901,pinned_bend,weak_contact_success,False,True,True,True,False,False,visible_not_similar_or_rgbd_leakage
