alpha_bar,beta,sqrt_alpha_bar,sqrt_one_minus_alpha_bar,timestep,x0_error_amplification
0.03456849604845047,0.1461985558271408,0.18592604994580633,0.9825637404013795,87,5.378482468118263
0.029101382941007614,0.1581529974937439,0.17059127451604203,0.9853418782630688,88,5.861964528003818
0.024091722443699837,0.17214514315128326,0.1552150844592749,0.9878807000626645,89,6.442672781989682
0.01954437419772148,0.1887514442205429,0.13980119526571108,0.9901795927013839,90,7.1530146655710976
0.015463759191334248,0.2087872326374054,0.12435336421397793,0.992237996051686,91,8.041599890126616
0.0118538374081254,0.2334439605474472,0.10887532965794133,0.994055412234084,92,9.184817195426607
0.008718117140233517,0.26453205943107605,0.09337085808877156,0.9956313990929406,93,10.709979756738
0.006059643812477589,0.30493664741516113,0.07784371402032143,0.9969655742238658,94,12.846252424941412
0.003880999283865094,0.359533429145813,0.062297666761003935,0.9980576139262377,95,16.05196553887574
0.0021842997521162033,0.43718111515045166,0.04673649272374002,0.998907253076022,96,21.396556346472387
0.0009711928432807326,0.5553756356239319,0.031163967065839557,0.9995142856191297,97,32.08834093192686
0.00024285720428451896,0.7499392628669739,0.015583876420342884,0.9998785640245097,98,64.16888667665638
2.4285407107527135e-07,0.9990000128746033,0.0004928022636669513,0.9999998785729571,99,2029.2114580785008
