condition,visible_seed,seed_cohort,baseline_selector,selector,initial_fraction,baseline_delta,selector_delta,paired_delta_gain,baseline_final,selector_final,paired_final_gain,baseline_success,selector_success,paired_success_gain,baseline_pull,selector_pull,baseline_future_match,selector_future_match
hidden_breakaway_pin,312001,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574985211715102,0.3617414506152272,0.4375,0.125
hidden_breakaway_pin,312002,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06952225411077961,0.06952225411077961,0.25,0.25
hidden_breakaway_pin,312002,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.06952225411077961,0.07560276496224105,0.25,1.0
hidden_breakaway_pin,312002,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06952225411077961,0.2096938886679709,0.25,0.5
hidden_breakaway_pin,312002,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06952225411077961,0.22039851150475442,0.25,0.125
hidden_breakaway_pin,312003,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06891026522498578,0.06891026522498578,0.25,0.25
hidden_breakaway_pin,312003,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06891026522498578,0.06383228045888245,0.25,1.0
hidden_breakaway_pin,312003,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06891026522498578,0.14966743416152894,0.25,0.5
hidden_breakaway_pin,312003,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06891026522498578,0.1850961302407086,0.25,0.25
hidden_breakaway_pin,312500,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07363233325304464,0.07363233325304464,0.1875,0.1875
hidden_breakaway_pin,312500,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07363233325304464,0.1172418319620192,0.1875,1.0
hidden_breakaway_pin,312500,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07363233325304464,0.173837561160326,0.1875,0.3125
hidden_breakaway_pin,312500,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07363233325304464,0.240377739071846,0.1875,0.0625
hidden_breakaway_pin,312501,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21282421704381704,0.21282421704381704,0.375,0.375
hidden_breakaway_pin,312501,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.21282421704381704,0.05488486954709515,0.375,1.0
hidden_breakaway_pin,312501,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21282421704381704,0.2809896916151047,0.375,0.5625
hidden_breakaway_pin,312501,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21282421704381704,0.3532777177169919,0.375,0.0
hidden_breakaway_pin,312502,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17444440722465515,0.17444440722465515,0.3125,0.3125
hidden_breakaway_pin,312502,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17444440722465515,0.12110590608790517,0.3125,1.0
hidden_breakaway_pin,312502,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17444440722465515,0.36134385131299496,0.3125,0.3125
hidden_breakaway_pin,312502,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17444440722465515,0.23387628770433366,0.3125,0.0625
hidden_breakaway_pin,312503,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097759120166302,0.06097759120166302,0.375,0.375
hidden_breakaway_pin,312503,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097759120166302,0.12354344851337373,0.375,1.0
hidden_breakaway_pin,312503,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.06097759120166302,0.18554153642617166,0.375,0.4375
hidden_breakaway_pin,312503,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097759120166302,0.27128912741318345,0.375,0.0625
hidden_high_friction,312000,phase312_seed_block,ddpm_mean,ddpm_mean,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0957689275383018,0.0957689275383018,0.75,0.75
hidden_high_friction,312000,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.2916666666666667,0.3333333333333333,-0.041666666666666685,-0.375,0.625,0.25,-0.375,0.0,0.0,0.0,0.0957689275383018,0.11360122915357351,0.75,1.0
hidden_high_friction,312000,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.2916666666666667,0.3333333333333333,-0.2916666666666667,-0.625,0.625,0.0,-0.625,0.0,0.0,0.0,0.0957689275383018,0.1424714244203642,0.75,0.375
hidden_high_friction,312000,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.2916666666666667,0.3333333333333333,0.20833333333333331,-0.125,0.625,0.5,-0.125,0.0,0.0,0.0,0.0957689275383018,0.12219870602712035,0.75,0.125
hidden_high_friction,312001,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.0,0.06696672114776447,0.06696672114776447,0.625,0.625
hidden_high_friction,312001,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.20833333333333334,0.0,-0.20833333333333334,0.20833333333333334,0.0,-0.20833333333333334,0.0,0.0,0.0,0.06696672114776447,0.10032237810082734,0.625,1.0
hidden_high_friction,312001,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.20833333333333334,0.0,-0.20833333333333334,0.20833333333333334,0.0,-0.20833333333333334,0.0,0.0,0.0,0.06696672114776447,0.14108697790652514,0.625,0.3125
hidden_high_friction,312001,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.20833333333333334,0.0,-0.20833333333333334,0.20833333333333334,0.0,-0.20833333333333334,0.0,0.0,0.0,0.06696672114776447,0.10494411503896117,0.625,0.25
