diverged,eligible,final_fraction_abs_diff,future_final_xy_chamfer,normalized_prefix_mae,split,success_diff,visible_seed,window_t
True,True,1.0,0.003734293859452009,0.00329992565538932,train,False,390007,3
True,True,1.0,0.0032617023680359125,0.0038191647417761747,train,False,390007,4
True,True,1.0,0.0032617023680359125,0.003929092892702652,train,False,390007,5
False,False,1.0,0.0032617023680359125,0.05206200728452119,train,False,390007,6
False,False,1.0,0.0032617023680359125,0.09438342579090894,train,False,390007,7
True,True,0.04166668653488159,0.006376427598297596,0.0,val,True,390100,0
True,True,0.04166668653488159,0.008207026869058609,0.0005331059672096989,val,True,390100,1
True,True,0.04166668653488159,0.008117260411381721,0.003089747444219387,val,True,390100,2
False,False,0.04166668653488159,0.007170035503804684,0.05034137949950699,val,True,390100,3
False,False,0.04166668653488159,0.007170035503804684,0.05090234595494495,val,True,390100,4
False,False,0.04166668653488159,0.007170035503804684,0.05271581487732548,val,True,390100,5
True,True,0.04166668653488159,0.007170035503804684,0.009022599700165161,val,True,390100,6
True,True,1.0,0.0023093249183148146,0.0,val,False,390101,0
True,True,1.0,0.0024336704518646,0.00039559948678153,val,False,390101,1
False,False,1.0,0.0038340215105563402,0.05116683825717542,val,False,390101,2
False,False,1.0,0.004214129410684109,0.05301437902124163,val,False,390101,3
False,False,1.0,0.004214129410684109,0.053311362643180864,val,False,390101,4
True,True,1.0,0.004214129410684109,0.0023740001033383715,val,False,390101,5
True,True,1.0,0.004214129410684109,0.002524130811549362,val,False,390101,6
True,True,0.7916666865348816,0.11285439133644104,0.0,val,True,390102,0
True,True,0.7916666865348816,0.11792220175266266,0.0014578513385341487,val,True,390102,1
True,True,0.7916666865348816,0.11865855753421783,0.04308212049231387,val,True,390102,2
False,False,0.7916666865348816,0.12005667388439178,0.0953145734942664,val,True,390102,3
False,False,0.7916666865348816,0.12005667388439178,0.1214784579671869,val,True,390102,4
False,False,0.7916666865348816,0.12005667388439178,0.1250650640988661,val,True,390102,5
False,False,0.7916666865348816,0.12005667388439178,0.11911894813148394,val,True,390102,6
True,True,0.125,0.008725603111088276,0.0,val,True,390103,0
True,True,0.125,0.008725603111088276,0.004616036703104543,val,True,390103,1
True,True,0.125,0.008725603111088276,0.01535883219005511,val,True,390103,2
False,False,0.125,0.008725603111088276,0.07620749646980296,val,True,390103,3
True,True,0.04166668653488159,0.004176308400928974,0.0,test,True,390200,0
True,True,0.04166668653488159,0.005373078398406506,0.0006978307835829664,test,True,390200,1
True,True,0.04166668653488159,0.004621994681656361,0.001934667241451438,test,True,390200,2
True,True,0.04166668653488159,0.004621994681656361,0.003149601452631297,test,True,390200,3
True,True,0.04166668653488159,0.004621994681656361,0.003332939525122306,test,True,390200,4
True,True,0.04166668653488159,0.004621994681656361,0.004813307834236178,test,True,390200,5
True,True,1.0,0.0027278647758066654,0.0,test,False,390201,0
True,True,1.0,0.0027278647758066654,0.0010253825174199066,test,False,390201,1
True,True,1.0,0.0027278647758066654,0.04802105209292947,test,False,390201,2
True,True,0.0,0.004901734180748463,0.0,test,False,390202,0
True,True,0.0,0.004008039832115173,0.0005295413016153212,test,False,390202,1
True,True,0.0,0.0053839366883039474,0.0009564258969559854,test,False,390202,2
True,True,0.0,0.0053839366883039474,0.001811612529199146,test,False,390202,3
True,True,0.0,0.0053839366883039474,0.0028207537468374873,test,False,390202,4
True,True,0.0,0.0053839366883039474,0.003492915902506567,test,False,390202,5
True,True,0.0,0.00447713490575552,0.0,test,False,390203,0
True,True,0.0,0.004917288199067116,0.00033063371511605843,test,False,390203,1
True,True,0.0,0.004917288199067116,0.0015067354934536015,test,False,390203,2
True,True,0.0,0.004917288199067116,0.0026383525547548827,test,False,390203,3
True,True,0.0,0.004917288199067116,0.003349582342229012,test,False,390203,4
