diverged,eligible,final_fraction_abs_diff,future_final_xy_chamfer,normalized_prefix_mae,split,success_diff,visible_seed,window_t
False,False,0.9166666865348816,0.11398299038410187,0.0759765450514807,train,True,400031,7
True,True,0.04166668653488159,0.0034417430870234966,0.0,train,True,400032,0
True,True,0.0,0.0030928978230804205,0.0,train,False,400033,0
True,True,0.0,0.003921341150999069,0.0005152789916955777,train,False,400033,1
True,True,0.0,0.004726744256913662,0.0008577629910868998,train,False,400033,2
True,True,0.0,0.004726744256913662,0.0014364767717276038,train,False,400033,3
True,True,0.0,0.004726744256913662,0.0022062651301657434,train,False,400033,4
True,True,0.0,0.004726744256913662,0.002705887466949913,train,False,400033,5
True,True,0.375,0.035304125398397446,0.0,train,True,400034,0
True,True,0.375,0.035452570766210556,0.01023588991236179,train,True,400034,1
True,True,0.375,0.035452570766210556,0.030631811846027115,train,True,400034,2
True,True,0.375,0.035452570766210556,0.04801390843861712,train,True,400034,3
False,False,0.375,0.035452570766210556,0.0561168242701683,train,True,400034,4
True,True,0.875,0.13217419385910034,0.0,train,True,400035,0
True,True,0.875,0.13080504536628723,0.0016150673008938062,train,True,400035,1
False,False,0.875,0.13080504536628723,0.051610534477440774,train,True,400035,2
False,False,0.875,0.13080504536628723,0.09576833452200315,train,True,400035,3
False,False,0.875,0.13080504536628723,0.13513780370889053,train,True,400035,4
True,True,0.0,0.004122000653296709,0.0,train,False,400036,0
True,True,0.0,0.004122000653296709,0.0009718231811311363,train,False,400036,1
True,True,1.0,0.004270182456821203,0.0,train,False,400037,0
True,True,1.0,0.009070235304534435,0.0004696172594509268,train,False,400037,1
True,True,1.0,0.006757299415767193,0.0014600371309373957,train,False,400037,2
True,True,1.0,0.006757299415767193,0.00306340074819178,train,False,400037,3
True,True,1.0,0.006757299415767193,0.003756303094415172,train,False,400037,4
True,True,1.0,0.006757299415767193,0.007503240840343978,train,False,400037,5
True,True,0.9583333134651184,0.1183132529258728,0.0,train,True,400038,0
True,True,0.9583333134651184,0.10607290267944336,0.00441690312980374,train,True,400038,1
True,True,0.9583333134651184,0.10254193842411041,0.03914259248721207,train,True,400038,2
False,False,0.9583333134651184,0.11258584260940552,0.06513655829494887,train,True,400038,3
False,False,0.9583333134651184,0.11258584260940552,0.08500742971601716,train,True,400038,4
