comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_1,free_a,hidden_armed,1,xy_history_s10,observable_motion,True,144,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,position_proprio_history_s10,observable_motion,True,261,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,causal_fd_history_s10,observable_motion,True,405,0.98046875,0.98046875,0.99017333984375,125,126,2,3,0.9921875,127,1,0,0.49790041016406555,0.48775510204081635,7.581938562803754e-37,0.9727462768554688,0.99993896484375,0.9609375,0.99609375,0.9765625,1.0
primary_step_1,free_a,hidden_armed,1,model_x_v2_s10,proposed_model_input,True,303,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_1,free_a,hidden_armed,1,privileged_model_x_v1_s10,privileged_velocity,False,447,0.98046875,0.98046875,0.990234375,125,126,2,3,0.9921875,127,1,0,0.49783913565426174,0.4936374549819928,7.581938562803754e-37,0.9731742858886718,0.9998794555664062,0.9609375,0.99609375,0.9765625,1.0
primary_step_1,free_a,hidden_armed,1,model_x_v2_s5_noise_00025m,noisy_visual_proxy,True,303,0.48046875,0.48046875,0.484771728515625,64,59,69,64,0.4609375,59,69,0,-0.014643357342937167,-0.016486594637855144,0.4264394964440242,0.4435111999511719,0.5264907836914062,0.4375,0.5234375,0.375,0.546875
primary_step_1,free_a,hidden_armed,1,model_x_v2_s5_noise_0005m,noisy_visual_proxy,True,303,0.4609375,0.4609375,0.45001220703125,60,58,70,68,0.4609375,59,69,0,-0.04575830332132854,-0.0913165266106442,0.4264394964440242,0.39324951171875,0.5079658508300782,0.40625,0.515625,0.375,0.546875
primary_step_1,free_a,hidden_armed,1,model_x_v2_s5_noise_001m,noisy_visual_proxy,True,303,0.484375,0.484375,0.510955810546875,63,61,67,65,0.53125,68,60,0,0.012821378551420574,0.03513405362144861,0.536268714071106,0.44476318359375,0.57794189453125,0.4296875,0.5390625,0.4453125,0.6171875
primary_step_5,free_a,hidden_armed,5,xy_single,position,True,48,0.5,0.5,0.50616455078125,86,42,86,42,0.6953125,68,18,42,0.0021252250900360117,0.0039215686274509665,5.2936895085725706e-08,0.503997802734375,0.512054443359375,0.5,0.5,0.6328125,0.7578125
primary_step_5,free_a,hidden_armed,5,sim_velocity_only,privileged_velocity,False,48,0.87109375,0.87109375,0.9364013671875,112,111,17,16,0.953125,122,6,0,0.43474389755902365,0.41936774709883967,3.3496859003124053e-29,0.9051498413085938,0.96392822265625,0.83203125,0.91015625,0.9140625,0.984375
primary_step_5,free_a,hidden_armed,5,xy_sim_velocity,privileged_velocity,False,96,0.8671875,0.8671875,0.93408203125,112,110,18,16,0.9609375,123,5,0,0.4320053021208483,0.42593037214885954,1.6197373698416143e-30,0.9028915405273438,0.9625244140625,0.828125,0.90625,0.921875,0.9921875
primary_step_5,free_a,hidden_armed,5,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_5,free_a,hidden_armed,5,position_proprio_single,position_proprio,True,87,0.5,0.5,0.506256103515625,86,42,86,42,0.69921875,68,17,43,0.002157112845138052,0.0039215686274509665,2.1750638050848607e-08,0.50421142578125,0.512054443359375,0.5,0.5,0.63671875,0.7578125
primary_step_5,free_a,hidden_armed,5,xy_history_s1,observable_motion,True,144,0.515625,0.515625,0.514373779296875,66,66,62,62,0.84375,108,20,0,0.013820528211284506,0.019927971188475335,8.588622955874907e-16,0.5128173828125,0.52130126953125,0.50390625,0.53125,0.78125,0.90625
primary_step_5,free_a,hidden_armed,5,position_proprio_history_s1,observable_motion,True,261,0.51171875,0.51171875,0.51458740234375,64,67,61,64,0.84375,108,20,0,0.013759253701480588,0.019927971188475335,8.588622955874907e-16,0.51263427734375,0.52191162109375,0.5,0.52734375,0.78125,0.90625
primary_step_5,free_a,hidden_armed,5,causal_fd_history_s1,observable_motion,True,405,0.9296875,0.9296875,0.976318359375,119,119,9,9,0.9921875,127,1,0,0.47586159463785516,0.46430572228891565,7.581938562803754e-37,0.9564208984375,0.9918212890625,0.8984375,0.9609375,0.9765625,1.0
primary_step_5,free_a,hidden_armed,5,model_x_v2_s1,proposed_model_input,True,303,0.51171875,0.51171875,0.51458740234375,64,67,61,64,0.84375,108,20,0,0.013759253701480588,0.019927971188475335,8.588622955874907e-16,0.51263427734375,0.52203369140625,0.5,0.52734375,0.78125,0.90625
primary_step_5,free_a,hidden_armed,5,privileged_model_x_v1_s1,privileged_velocity,False,447,0.93359375,0.93359375,0.97705078125,120,119,9,8,0.9921875,127,1,0,0.47665566226490597,0.4701480592236895,7.581938562803754e-37,0.95751953125,0.9923095703125,0.90234375,0.96484375,0.9765625,1.0
primary_step_5,free_a,hidden_armed,5,xy_history_s5,observable_motion,True,144,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.002125225090036014,0.0039215686274509665,5.2936895085725706e-08,0.50396728515625,0.511871337890625,0.5,0.5,0.6328125,0.75390625
primary_step_5,free_a,hidden_armed,5,position_proprio_history_s5,observable_motion,True,261,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.0021252250900360117,0.0039215686274509665,5.2936895085725706e-08,0.50396728515625,0.51190185546875,0.5,0.5,0.6328125,0.7578125
primary_step_5,free_a,hidden_armed,5,causal_fd_history_s5,observable_motion,True,405,0.9765625,0.9765625,0.99114990234375,125,125,3,3,0.9921875,127,1,0,0.4980454681872749,0.5077631052420968,7.581938562803754e-37,0.9775390625,0.99993896484375,0.95703125,0.9921875,0.9765625,1.0
