family,experiment,evaluation,source_id,gate_pass,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95
diffusion,balanced_anchor_prior,true_condition,13,False,24,0.009869146945320558,1.0625061988830566,0.02329415453987027,0.5517067628494928,0.14139760948521551
diffusion,balanced_anchor_prior,true_condition,14,False,24,0.0032171340262302584,0.320766806602478,0.01040231029298064,0.21527725307424148,0.08099175616419017
diffusion,balanced_anchor_prior,true_condition,15,False,24,0.00466593126684213,0.46064767241477966,0.012505354206062275,0.2291611326753848,0.07475395571060939
prior,balanced_anchor_prior,after_warmup,0,True,1,5.737925430538158e-05,0.026232242584228516,0.0006358971409300479,0.01771526313634768,0.0064005176679531066
prior,balanced_anchor_prior,after_warmup,1,True,1,8.590786610883116e-05,0.02496337890625,0.000936570789762558,0.058311933285863655,0.01161132283016784
prior,balanced_anchor_prior,after_warmup,2,True,1,6.141124519544142e-05,0.016126394271850586,0.0009793338184705118,0.02530354489230422,0.010426425824584744
prior,balanced_anchor_prior,after_warmup,3,True,1,4.8875914290122394e-05,0.028264999389648438,0.0007881255313304984,0.015613945262692634,0.0058024485860420135
prior,balanced_anchor_prior,after_warmup,4,True,1,4.11261476703014e-05,0.020493745803833008,0.0005329994069733917,0.015801154383572713,0.005704798625294851
prior,balanced_anchor_prior,after_warmup,5,True,1,5.9317274592472825e-05,0.031451210379600525,0.0008047031735102258,0.018836450938766163,0.00492348749824733
prior,balanced_anchor_prior,after_warmup,6,True,1,1.5723345981301116e-05,0.016895368695259094,0.0003934754819830182,0.01190804414978808,0.0031663296376904086
prior,balanced_anchor_prior,after_warmup,7,True,1,6.541701544040219e-06,0.00507691502571106,0.00032097987067620864,0.012535141085217326,0.0024239780777772298
prior,balanced_anchor_prior,after_warmup,8,False,1,0.0001063176933584006,0.025349915027618408,0.0012355351047291631,0.04793765921573847,0.008579226978258482
prior,balanced_anchor_prior,after_warmup,9,True,1,1.633472136772712e-05,0.011241316795349121,0.00041940789135744505,0.04742945903930243,0.004409101787613708
prior,balanced_anchor_prior,after_warmup,10,True,1,4.16799221509485e-05,0.01391562819480896,0.0008500940264619308,0.013641493972649426,0.007467820792302137
prior,balanced_anchor_prior,after_warmup,11,True,1,1.7304169452694232e-05,0.011332988739013672,0.0004551627093421634,0.027276364427972273,0.004378656869450021
prior,balanced_anchor_prior,after_warmup,12,True,1,7.543817450734649e-05,0.016686558723449707,0.0010644096575458577,0.019321873412562886,0.008495022396738938
prior,balanced_anchor_prior,after_warmup,13,True,1,4.959200513353459e-05,0.02283477783203125,0.0006916108143893931,0.06613187492741306,0.009925545047815563
prior,balanced_anchor_prior,after_warmup,14,True,1,1.4297394798984005e-05,0.007432430982589722,0.0005017021248968831,0.009139138550236157,0.0023529486382801584
prior,balanced_anchor_prior,after_warmup,15,True,1,2.1488013674475372e-05,0.009620070457458496,0.0004974175806683234,0.015374558188247215,0.004798472086994551
prior,balanced_anchor_prior,after_diffusion,0,False,1,0.46213896595426085,3.91121244430542,0.0526584321575822,0.7752571755970785,0.44516747918622357
prior,balanced_anchor_prior,after_diffusion,1,False,1,0.0013000555459769974,0.24712491035461426,0.0030004505137061423,0.2450309257098143,0.04744108185169125
prior,balanced_anchor_prior,after_diffusion,2,False,1,0.28569595877605164,1.8295307457447052,0.061722443179339226,0.8122984301439764,0.48586903455670355
prior,balanced_anchor_prior,after_diffusion,3,False,1,0.012133501605059308,0.5081701278686523,0.011819337941031325,0.21494323750829963,0.08467606206205879
prior,balanced_anchor_prior,after_diffusion,4,False,1,0.38254009268213063,2.855436995625496,0.05142312143804763,0.7981106276927376,0.15191414215856766
prior,balanced_anchor_prior,after_diffusion,5,False,1,0.013433835252459291,0.33050715923309326,0.010828041119407852,0.2596901391581528,0.14540889401652135
prior,balanced_anchor_prior,after_diffusion,6,False,1,0.009849919279195561,0.20047426223754883,0.009876105131013417,0.2033546555482385,0.09882583660870961
prior,balanced_anchor_prior,after_diffusion,7,False,1,0.04395322282314688,0.5439910255372524,0.02236218480669348,0.48734787729285833,0.17013582324261264
prior,balanced_anchor_prior,after_diffusion,8,False,1,0.00021124860352007957,0.05223032832145691,0.0015774647628555311,0.08654285150016136,0.008141901824304024
prior,balanced_anchor_prior,after_diffusion,9,False,1,0.09703394531577587,1.2318838834762573,0.03629107063329405,0.9136476935441963,0.3605187479452985
prior,balanced_anchor_prior,after_diffusion,10,False,1,0.058662012446431225,0.5266547799110413,0.035719158454424506,0.46916173264081346,0.224889715098995
prior,balanced_anchor_prior,after_diffusion,11,False,1,0.001543405283724308,0.11630058288574219,0.0043560463503796295,0.1521250439292143,0.05709946492928013
prior,balanced_anchor_prior,after_diffusion,12,False,1,0.022341018881698198,0.26649177074432373,0.02170914719058734,0.20204166476567353,0.10490497108276688
prior,balanced_anchor_prior,after_diffusion,13,False,1,0.01008080885111779,0.4910702705383301,0.012493059640419555,0.5168820428283445,0.05983347010250502
prior,balanced_anchor_prior,after_diffusion,14,False,1,0.0017842103102962618,0.11530172824859619,0.004290018204281488,0.1886866743496773,0.06654213931060383
prior,balanced_anchor_prior,after_diffusion,15,False,1,0.008131124240901852,0.1650986671447754,0.011793799944508163,0.2668642917088887,0.09454713457543279
diffusion,balanced_frozen_prior,true_condition,0,True,24,2.6580813041104317e-05,0.054598331451416016,0.0012627314280979334,0.02097366994134284,0.012799919411932184
diffusion,balanced_frozen_prior,true_condition,1,True,24,4.98890247604924e-06,0.007523596286773682,0.00047452986360832185,0.01695157849219234,0.0018587908860486105
