selector,uses_condition_label,condition,visible_seed,seed_cohort,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,future_std_mean,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,selected_train_index,selected_window_idx,selected_condition,selected_context_l2,selected_proxy_distance,selected_score,action_ood,clip_frac,pull_len,source_pull_len,action_mae_to_source,action_l2_to_source,scope
ddpm_mean,0,free,312001,phase312_seed_block,1,12,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.040327444672584534,0.04279916360974312,0.019051941111683846,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.11732270568609238,0.0,0.010703477077186108,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,13,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.03968486934900284,0.044938914477825165,0.023675667122006416,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.09405219554901123,0.0,0.011619030497968197,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,14,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.040347304195165634,0.042747996747493744,0.022572195157408714,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.11017467081546783,0.0,0.014318980276584625,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312001,phase312_seed_block,1,15,0.08333333333333333,0.08333333333333333,0.0,0,0.0,0.04083961993455887,0.039502598345279694,0.017217742279171944,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.0853235274553299,0.0,0.012149087153375149,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,0,0.0,0.0,0.0,0,0.0,0.0403023324906826,0.043485868722200394,0.023140186443924904,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.36192432045936584,0.0,0.18337681889533997,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,1,0.0,0.0,0.0,0,0.0,0.04024466872215271,0.04433406516909599,0.019170096144080162,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.2637519836425781,0.0,0.1239735335111618,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,2,0.0,0.0,0.0,0,0.0,0.04046894982457161,0.044536273926496506,0.018864143639802933,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.214731827378273,0.0,0.07553745806217194,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,3,0.0,0.0,0.0,0,0.0,0.04033050686120987,0.04237701743841171,0.019320420920848846,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.13689908385276794,0.0,0.016701288521289825,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,4,0.0,0.0,0.0,0,0.0,0.04022788628935814,0.04569481685757637,0.023507624864578247,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.12151521444320679,0.0,0.03126902133226395,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,5,0.0,0.0,0.0,0,0.0,0.03909050300717354,0.04778357967734337,0.020144786685705185,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.1504611074924469,0.0,0.042911116033792496,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,6,0.0,0.0,0.0,0,0.0,0.034078918397426605,0.05759274587035179,0.02608230896294117,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.25572049617767334,0.0,0.004519513342529535,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,7,0.0,0.0,0.0,0,0.0,0.030973024666309357,0.06603393703699112,0.03164655715227127,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.3285404443740845,0.0,0.07174026966094971,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,8,0.0,0.0,0.0,0,0.0,0.03229471296072006,0.06105142831802368,0.031525082886219025,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.4593006372451782,0.0,0.06794890761375427,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,9,0.0,0.0,0.0,0,0.0,0.039025407284498215,0.048834722489118576,0.02131701447069645,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.23175445199012756,0.0,0.0320206955075264,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,10,0.0,0.0,0.0,0,0.0,0.039698489010334015,0.04459453746676445,0.022875454276800156,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.19424398243427277,0.0,0.025428060442209244,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
